,wp,eta,v,b_last,noise,loss,lossfun,model,subject_id,alpha,theta
48,0.4586,0.8261,6.6437,-0.0041,0.9224,376.868,BIC,TwoStageBetween,11-TwoStageBetween,,
49,,,8.1567,-0.0087,0.9293,382.6386,BIC,TwoStageWithin,11-TwoStageBetween,1.2528,0.9937
50,0.4673,1.0,3.3053,0.0725,0.9222,427.1349,BIC,TwoStageBetween,11-TwoStageWithin,,
51,,,6.9697,-0.0462,0.9002,407.6272,BIC,TwoStageWithin,11-TwoStageWithin,1.1066,1.0
52,1.0,0.1341,11.6236,-0.0065,0.8165,73.7775,BIC,TwoStageBetween,110-TwoStageBetween,,
53,,,7.4106,-0.0139,0.8612,94.255,BIC,TwoStageWithin,110-TwoStageBetween,0.0386,1.0
54,0.9716,0.9597,6.2354,-0.0316,0.8993,124.6797,BIC,TwoStageBetween,110-TwoStageWithin,,
55,,,7.2356,0.0679,0.8038,77.6978,BIC,TwoStageWithin,110-TwoStageWithin,0.0017,1.0
56,0.413,1.0,6.6885,-0.0108,0.9957,343.5399,BIC,TwoStageBetween,111-TwoStageBetween,,
57,,,10.16,-0.0123,0.992,340.6318,BIC,TwoStageWithin,111-TwoStageBetween,1.4451,1.0
58,0.4107,0.3123,8.244,0.032,1.0468,339.8841,BIC,TwoStageBetween,111-TwoStageWithin,,
59,,,12.6404,-0.0046,1.0401,334.6729,BIC,TwoStageWithin,111-TwoStageWithin,1.4655,0.59
60,0.6762,0.6083,3.2255,-0.0135,0.5592,384.9527,BIC,TwoStageBetween,112-TwoStageBetween,,
61,,,2.4739,-0.0047,0.5772,396.9059,BIC,TwoStageWithin,112-TwoStageBetween,0.4143,1.0
62,0.6083,1.0,2.9826,-0.0208,0.5565,383.3886,BIC,TwoStageBetween,112-TwoStageWithin,,
63,,,4.1902,-0.0084,0.5331,368.9869,BIC,TwoStageWithin,112-TwoStageWithin,0.5855,0.725
64,0.0,0.0,13.0621,0.091,1.8029,37.8668,BIC,TwoStageBetween,113-TwoStageBetween,,
65,,,19.1813,0.0373,1.8451,57.5414,BIC,TwoStageWithin,113-TwoStageBetween,2.2506,1.0
66,0.0,0.5056,4.0558,0.1326,1.931,66.0466,BIC,TwoStageBetween,113-TwoStageWithin,,
67,,,30.0,-0.0166,1.9038,53.1552,BIC,TwoStageWithin,113-TwoStageWithin,3.2551,0.3529
68,0.5781,0.5958,11.5235,-0.0062,0.9666,307.9697,BIC,TwoStageBetween,114-TwoStageBetween,,
69,,,11.0501,-0.0078,0.9773,315.8784,BIC,TwoStageWithin,114-TwoStageBetween,0.6294,0.6725
70,0.5843,1.0,7.4819,-0.0187,0.9509,341.1899,BIC,TwoStageBetween,114-TwoStageWithin,,
71,,,11.9744,0.0188,0.9337,328.4535,BIC,TwoStageWithin,114-TwoStageWithin,0.7171,0.5019
72,0.524,1.0,11.3019,-0.015,1.0142,257.3983,BIC,TwoStageBetween,115-TwoStageBetween,,
73,,,12.8149,-0.003,1.0268,266.1668,BIC,TwoStageWithin,115-TwoStageBetween,0.8816,1.0
74,0.544,1.0,10.5167,0.0055,0.9817,279.4747,BIC,TwoStageBetween,115-TwoStageWithin,,
75,,,16.2268,0.0048,0.9363,248.476,BIC,TwoStageWithin,115-TwoStageWithin,0.8311,0.8705
76,0.628,0.8084,30.0,-0.0029,2.2428,-103.0971,BIC,TwoStageBetween,116-TwoStageBetween,,
77,,,30.0,0.0469,2.2399,-104.0921,BIC,TwoStageWithin,116-TwoStageBetween,0.5374,0.8203
78,0.6272,1.0,23.5564,0.0427,2.2713,-86.6495,BIC,TwoStageBetween,116-TwoStageWithin,,
79,,,29.7598,-0.0021,2.2879,-81.0387,BIC,TwoStageWithin,116-TwoStageWithin,0.5446,0.7135
80,0.7277,0.8182,8.5311,0.0087,0.8928,250.2508,BIC,TwoStageBetween,117-TwoStageBetween,,
81,,,9.3354,0.0171,0.9026,256.6172,BIC,TwoStageWithin,117-TwoStageBetween,0.3247,0.7128
82,0.6895,0.8457,10.1657,-0.0115,0.9712,251.6502,BIC,TwoStageBetween,117-TwoStageWithin,,
83,,,15.1982,-0.0231,0.9124,213.479,BIC,TwoStageWithin,117-TwoStageWithin,0.4115,0.5397
84,0.5862,1.0,6.8866,0.0136,1.0153,329.1943,BIC,TwoStageBetween,12-TwoStageBetween,,
85,,,7.3528,0.0129,1.0235,335.4028,BIC,TwoStageWithin,12-TwoStageBetween,0.6836,1.0
86,0.5675,1.0,6.4878,-0.0159,1.0043,348.9033,BIC,TwoStageBetween,12-TwoStageWithin,,
87,,,7.542,0.0418,0.9884,336.8175,BIC,TwoStageWithin,12-TwoStageWithin,0.6595,1.0
88,0.6675,0.6962,16.7392,0.0116,1.0986,125.6723,BIC,TwoStageBetween,120-TwoStageBetween,,
89,,,13.4496,0.0165,1.137,145.7888,BIC,TwoStageWithin,120-TwoStageBetween,0.4433,1.0
90,0.6749,0.621,13.8361,-0.0267,1.1805,164.1618,BIC,TwoStageBetween,120-TwoStageWithin,,
91,,,15.307,-0.0079,1.141,143.4907,BIC,TwoStageWithin,120-TwoStageWithin,0.4744,0.8551
92,0.5416,0.3738,14.7105,-0.022,1.054,313.244,BIC,TwoStageBetween,122-TwoStageBetween,,
93,,,10.0477,0.0124,1.0714,327.1617,BIC,TwoStageWithin,122-TwoStageBetween,0.7621,0.9716
94,0.5305,1.0,10.6957,0.0269,1.0688,271.5956,BIC,TwoStageBetween,122-TwoStageWithin,,
95,,,15.7516,-0.0032,1.0578,263.7745,BIC,TwoStageWithin,122-TwoStageWithin,0.9214,0.9295
96,0.4646,1.0,28.4111,-0.0213,1.9311,-53.1579,BIC,TwoStageBetween,123-TwoStageBetween,,
97,,,30.0,0.011,1.9507,-46.0478,BIC,TwoStageWithin,123-TwoStageBetween,1.072,1.0
98,0.4204,0.4845,23.8254,-0.0202,1.8832,14.1322,BIC,TwoStageBetween,123-TwoStageWithin,,
99,,,30.0,0.0004,1.8615,5.0756,BIC,TwoStageWithin,123-TwoStageWithin,1.3193,0.9568
100,0.4209,1.0,24.6037,0.0095,1.6502,11.0132,BIC,TwoStageBetween,124-TwoStageBetween,,
101,,,30.0,0.0049,1.6845,26.5926,BIC,TwoStageWithin,124-TwoStageBetween,1.269,1.0
102,0.4344,0.9852,20.4219,0.0061,1.7132,19.2174,BIC,TwoStageBetween,124-TwoStageWithin,,
103,,,30.0,0.0244,1.6854,7.3981,BIC,TwoStageWithin,124-TwoStageWithin,1.1951,0.9278
104,0.7011,0.4941,13.033,-0.0064,1.0111,207.2247,BIC,TwoStageBetween,125-TwoStageBetween,,
105,,,9.748,0.0343,1.0341,220.8976,BIC,TwoStageWithin,125-TwoStageBetween,0.3447,0.8127
106,0.6512,1.0,10.462,-0.0318,0.9704,248.3853,BIC,TwoStageBetween,125-TwoStageWithin,,
107,,,11.63,0.0133,0.9663,245.7499,BIC,TwoStageWithin,125-TwoStageWithin,0.4842,0.9394
108,0.6241,1.0,11.7175,-0.0084,1.1108,227.6326,BIC,TwoStageBetween,126-TwoStageBetween,,
109,,,12.0304,0.0037,1.1306,240.5721,BIC,TwoStageWithin,126-TwoStageBetween,0.5139,0.856
110,0.648,0.6803,11.4919,-0.0058,1.1776,233.6409,BIC,TwoStageBetween,126-TwoStageWithin,,
111,,,10.9653,0.0607,1.1539,218.8746,BIC,TwoStageWithin,126-TwoStageWithin,0.4893,1.0
112,0.537,1.0,9.52,-0.0168,0.9604,303.315,BIC,TwoStageBetween,127-TwoStageBetween,,
113,,,11.3659,0.0106,0.9787,316.5992,BIC,TwoStageWithin,127-TwoStageBetween,0.8482,0.7163
114,0.5079,0.8223,8.6597,-0.0148,1.0747,312.7002,BIC,TwoStageBetween,127-TwoStageWithin,,
115,,,13.763,0.006,1.0596,301.6436,BIC,TwoStageWithin,127-TwoStageWithin,0.9573,0.5059
116,0.5986,0.2702,10.733,-0.0291,1.2613,267.8776,BIC,TwoStageBetween,128-TwoStageBetween,,
117,,,7.4928,0.0408,1.2639,269.6468,BIC,TwoStageWithin,128-TwoStageBetween,0.7362,1.0
118,0.6423,0.4802,10.7235,0.0066,1.2755,258.5674,BIC,TwoStageBetween,128-TwoStageWithin,,
119,,,9.4824,0.0265,1.2715,255.8329,BIC,TwoStageWithin,128-TwoStageWithin,0.5353,0.9079
120,0.5283,1.0,8.2865,0.0199,0.9413,311.6858,BIC,TwoStageBetween,129-TwoStageBetween,,
121,,,10.978,0.0272,0.9463,315.2196,BIC,TwoStageWithin,129-TwoStageBetween,0.8761,0.719
122,0.5221,1.0,6.8752,-0.0153,1.0197,340.8515,BIC,TwoStageBetween,129-TwoStageWithin,,
123,,,12.8789,0.0092,0.9972,323.8358,BIC,TwoStageWithin,129-TwoStageWithin,0.9332,0.5127
124,0.3614,1.0,4.5892,0.0874,1.2437,289.0793,BIC,TwoStageBetween,13-TwoStageBetween,,
125,,,13.4949,0.0123,1.2439,289.2496,BIC,TwoStageWithin,13-TwoStageBetween,1.6469,0.2541
126,0.5042,1.0,3.9848,-0.0589,1.2732,302.493,BIC,TwoStageBetween,13-TwoStageWithin,,
127,,,4.4034,0.2194,1.2401,279.32,BIC,TwoStageWithin,13-TwoStageWithin,1.2541,1.0
128,0.4635,0.2711,30.0,0.0023,1.7538,37.6538,BIC,TwoStageBetween,131-TwoStageBetween,,
129,,,25.4111,-0.0149,1.7735,46.6557,BIC,TwoStageWithin,131-TwoStageBetween,1.1278,1.0
130,0.484,0.8188,21.6544,-0.0028,1.6917,63.8873,BIC,TwoStageBetween,131-TwoStageWithin,,
131,,,30.0,-0.0039,1.6666,52.0732,BIC,TwoStageWithin,131-TwoStageWithin,1.0261,0.7754
