,wp,eta,v,b_last,noise,loss,lossfun,model,subject_id,alpha,theta
236,0.4993,0.5801,11.8308,0.0123,0.9853,306.2141,BIC,TwoStageBetween,159-TwoStageBetween,,
237,,,11.4016,-0.0108,1.0021,318.5735,BIC,TwoStageWithin,159-TwoStageBetween,1.077,1.0
238,0.5306,1.0,9.5085,-0.0091,0.9912,307.4157,BIC,TwoStageBetween,159-TwoStageWithin,,
239,,,13.4532,0.029,0.9776,297.6308,BIC,TwoStageWithin,159-TwoStageWithin,0.8952,0.6979
240,0.6206,0.6489,18.0586,0.0154,1.4261,161.8582,BIC,TwoStageBetween,16-TwoStageBetween,,
241,,,12.8632,-0.0091,1.461,182.5413,BIC,TwoStageWithin,16-TwoStageBetween,0.5094,1.0
242,0.5963,1.0,14.2008,0.0094,1.487,156.4535,BIC,TwoStageBetween,16-TwoStageWithin,,
243,,,20.0031,0.0419,1.4666,144.9618,BIC,TwoStageWithin,16-TwoStageWithin,0.6429,0.6246
244,0.5826,1.0,8.9359,0.0426,1.0676,316.8463,BIC,TwoStageBetween,160-TwoStageBetween,,
245,,,8.4593,0.0396,1.089,333.7769,BIC,TwoStageWithin,160-TwoStageBetween,0.6689,1.0
246,0.5597,0.4455,13.5319,-0.0009,1.0155,301.6416,BIC,TwoStageBetween,160-TwoStageWithin,,
247,,,10.5745,0.0164,1.0187,303.9741,BIC,TwoStageWithin,160-TwoStageWithin,0.7425,1.0
248,0.6863,1.0,17.6212,0.0037,1.4116,46.082,BIC,TwoStageBetween,161-TwoStageBetween,,
249,,,18.0736,0.0112,1.4374,57.8888,BIC,TwoStageWithin,161-TwoStageBetween,0.4355,1.0
250,0.6967,0.4072,17.8899,0.0007,1.3396,122.0109,BIC,TwoStageBetween,161-TwoStageWithin,,
251,,,15.218,0.0118,1.3198,111.9918,BIC,TwoStageWithin,161-TwoStageWithin,0.4207,1.0
252,0.4247,0.3134,17.005,-0.0134,1.2676,205.957,BIC,TwoStageBetween,162-TwoStageBetween,,
253,,,15.8725,0.01,1.2938,222.5961,BIC,TwoStageWithin,162-TwoStageBetween,1.3745,0.7806
254,0.4852,1.0,8.9596,-0.0089,1.3877,213.8008,BIC,TwoStageBetween,162-TwoStageWithin,,
255,,,22.7862,0.0266,1.3478,189.393,BIC,TwoStageWithin,162-TwoStageWithin,1.1939,0.2648
256,0.4628,0.1016,11.5292,-0.0315,1.1547,321.6989,BIC,TwoStageBetween,163-TwoStageBetween,,
257,,,8.0211,0.0017,1.1627,327.843,BIC,TwoStageWithin,163-TwoStageBetween,1.1698,1.0
258,0.443,0.1168,4.7089,-0.018,1.1671,342.6151,BIC,TwoStageBetween,163-TwoStageWithin,,
259,,,5.0174,-0.0087,1.1667,342.2962,BIC,TwoStageWithin,163-TwoStageWithin,0.9918,0.5486
260,0.5931,1.0,18.8465,-0.025,1.7255,26.5595,BIC,TwoStageBetween,164-TwoStageBetween,,
261,,,17.8708,0.026,1.7504,37.0095,BIC,TwoStageWithin,164-TwoStageBetween,0.6277,1.0
262,0.5626,1.0,13.492,-0.0248,1.7379,92.9182,BIC,TwoStageBetween,164-TwoStageWithin,,
263,,,17.7721,-0.0088,1.7287,88.2109,BIC,TwoStageWithin,164-TwoStageWithin,0.7106,0.8422
264,0.3184,0.8577,12.8309,0.0282,1.2553,124.6769,BIC,TwoStageBetween,166-TwoStageBetween,,
265,,,25.7336,0.0032,1.2556,124.8034,BIC,TwoStageWithin,166-TwoStageBetween,1.8055,0.9361
266,0.3462,0.4021,12.9691,-0.0047,1.2508,194.5499,BIC,TwoStageBetween,166-TwoStageWithin,,
267,,,24.5162,0.0319,1.2,165.2282,BIC,TwoStageWithin,166-TwoStageWithin,1.9107,0.5715
268,0.4713,0.0654,5.236,-0.0377,0.7738,410.2543,BIC,TwoStageBetween,167-TwoStageBetween,,
269,,,6.1906,-0.0164,0.7756,411.6952,BIC,TwoStageWithin,167-TwoStageBetween,1.0398,0.2078
270,0.4341,0.612,3.7846,-0.0216,0.8256,405.312,BIC,TwoStageBetween,167-TwoStageWithin,,
271,,,8.232,-0.0211,0.812,394.2101,BIC,TwoStageWithin,167-TwoStageWithin,1.4653,0.2299
272,0.8547,0.3386,16.6865,-0.0255,1.3958,56.9709,BIC,TwoStageBetween,168-TwoStageBetween,,
273,,,12.5515,0.0039,1.4228,69.3209,BIC,TwoStageWithin,168-TwoStageBetween,0.1968,0.9515
274,0.8389,1.0,9.6098,-0.0802,1.3749,103.468,BIC,TwoStageBetween,168-TwoStageWithin,,
275,,,10.4989,0.0266,1.3647,98.3413,BIC,TwoStageWithin,168-TwoStageWithin,0.1507,0.9038
276,0.608,0.6291,20.1541,0.0159,2.1902,-21.5903,BIC,TwoStageBetween,17-TwoStageBetween,,
277,,,17.8424,0.0024,2.1929,-20.522,BIC,TwoStageWithin,17-TwoStageBetween,0.5905,1.0
278,0.5482,0.6296,30.0,-0.014,2.1987,-57.7387,BIC,TwoStageBetween,17-TwoStageWithin,,
279,,,29.508,0.0361,2.1958,-58.8039,BIC,TwoStageWithin,17-TwoStageWithin,0.7358,0.8783
280,0.6549,1.0,12.8381,-0.0455,1.3867,150.9214,BIC,TwoStageBetween,170-TwoStageBetween,,
281,,,11.6888,0.0669,1.3997,158.1327,BIC,TwoStageWithin,170-TwoStageBetween,0.4678,0.8724
282,0.6219,1.0,15.7713,-0.0141,1.3205,136.7773,BIC,TwoStageBetween,170-TwoStageWithin,,
283,,,19.0893,0.0215,1.3067,129.4564,BIC,TwoStageWithin,170-TwoStageWithin,0.5872,0.9309
284,0.4616,1.0,6.8178,-0.0161,1.1322,290.6702,BIC,TwoStageBetween,171-TwoStageBetween,,
285,,,11.2304,0.0098,1.1388,295.1991,BIC,TwoStageWithin,171-TwoStageBetween,1.1749,0.4585
286,0.3996,1.0,5.6216,-0.024,1.0673,335.3375,BIC,TwoStageBetween,171-TwoStageWithin,,
287,,,9.5691,0.0449,1.0561,326.7102,BIC,TwoStageWithin,171-TwoStageWithin,1.3732,0.7855
288,0.2541,1.0,8.1103,0.0022,1.0865,190.8879,BIC,TwoStageBetween,172-TwoStageBetween,,
289,,,14.1228,0.005,1.1588,234.2546,BIC,TwoStageWithin,172-TwoStageBetween,1.9646,1.0
290,0.158,1.0,4.3639,-0.0318,1.2018,258.8774,BIC,TwoStageBetween,172-TwoStageWithin,,
291,,,17.3687,0.0061,1.1899,251.1514,BIC,TwoStageWithin,172-TwoStageWithin,2.1832,0.5822
292,0.5109,1.0,9.795,-0.0297,0.9847,303.0259,BIC,TwoStageBetween,174-TwoStageBetween,,
293,,,12.4729,0.013,0.9958,311.2917,BIC,TwoStageWithin,174-TwoStageBetween,0.9464,0.7427
294,0.5228,1.0,6.6405,-0.0169,1.0304,348.7625,BIC,TwoStageBetween,174-TwoStageWithin,,
295,,,8.9925,0.0293,1.0161,337.4417,BIC,TwoStageWithin,174-TwoStageWithin,0.8667,0.9038
296,0.4965,0.805,4.2358,0.0094,0.7549,439.25,BIC,TwoStageBetween,175-TwoStageBetween,,
297,,,5.0784,0.0033,0.7552,439.5014,BIC,TwoStageWithin,175-TwoStageBetween,0.9379,0.9551
298,0.4812,1.0,3.797,0.0027,0.7514,451.7626,BIC,TwoStageBetween,175-TwoStageWithin,,
299,,,6.3487,0.0193,0.7314,434.5386,BIC,TwoStageWithin,175-TwoStageWithin,1.0586,0.83
300,0.6499,0.9204,7.1058,0.0606,0.9273,328.3846,BIC,TwoStageBetween,176-TwoStageBetween,,
301,,,8.0981,0.0208,0.9432,340.6677,BIC,TwoStageWithin,176-TwoStageBetween,0.4906,0.7478
302,0.625,1.0,6.5514,-0.0259,0.986,337.805,BIC,TwoStageBetween,176-TwoStageWithin,,
303,,,7.7521,0.0255,0.9857,337.5824,BIC,TwoStageWithin,176-TwoStageWithin,0.5626,0.8436
304,0.5357,0.6022,13.2936,0.0008,1.1487,253.9281,BIC,TwoStageBetween,177-TwoStageBetween,,
305,,,13.8919,-0.0161,1.157,259.5033,BIC,TwoStageWithin,177-TwoStageBetween,0.8402,0.7033
306,0.5427,0.7713,6.9879,-0.0079,1.1344,333.5185,BIC,TwoStageBetween,177-TwoStageWithin,,
307,,,9.1301,0.0233,1.1149,318.2089,BIC,TwoStageWithin,177-TwoStageWithin,0.8377,1.0
308,0.6369,0.4624,11.5146,-0.0174,1.1007,288.1056,BIC,TwoStageBetween,178-TwoStageBetween,,
309,,,8.7002,0.0047,1.1171,300.1169,BIC,TwoStageWithin,178-TwoStageBetween,0.5169,0.8977
310,0.6491,1.0,6.5798,-0.0234,1.1254,305.9518,BIC,TwoStageBetween,178-TwoStageWithin,,
311,,,9.5097,0.0068,1.113,297.1297,BIC,TwoStageWithin,178-TwoStageWithin,0.5361,0.7146
312,0.2685,1.0,10.7567,-0.0024,1.2996,138.7646,BIC,TwoStageBetween,179-TwoStageBetween,,
313,,,21.1288,-0.006,1.336,159.6465,BIC,TwoStageWithin,179-TwoStageBetween,1.9894,1.0
314,0.1564,0.7872,7.0626,0.0133,1.3684,174.2049,BIC,TwoStageBetween,179-TwoStageWithin,,
315,,,30.0,-0.0102,1.3414,158.8285,BIC,TwoStageWithin,179-TwoStageWithin,1.8707,0.3568
316,0.5154,0.4871,17.122,0.002,1.2079,217.3895,BIC,TwoStageBetween,18-TwoStageBetween,,
317,,,15.2987,-0.0095,1.2299,231.5199,BIC,TwoStageWithin,18-TwoStageBetween,0.9146,0.7821
318,0.5645,1.0,11.1061,-0.0381,1.2081,235.1853,BIC,TwoStageBetween,18-TwoStageWithin,,
319,,,17.3128,0.0027,1.1845,219.904,BIC,TwoStageWithin,18-TwoStageWithin,0.7773,0.7098
320,0.5889,1.0,12.0868,-0.0297,1.1484,187.1304,BIC,TwoStageBetween,180-TwoStageBetween,,
321,,,13.2268,0.0185,1.1487,187.2655,BIC,TwoStageWithin,180-TwoStageBetween,0.6599,1.0
322,0.6655,0.017,14.1554,0.0022,1.2173,231.2123,BIC,TwoStageBetween,180-TwoStageWithin,,
323,,,10.6296,0.0367,1.2075,225.1777,BIC,TwoStageWithin,180-TwoStageWithin,0.5557,0.8064
324,0.5471,0.5628,10.9798,-0.0038,1.1694,249.5547,BIC,TwoStageBetween,182-TwoStageBetween,,
325,,,10.486,-0.0105,1.1737,252.1711,BIC,TwoStageWithin,182-TwoStageBetween,0.7882,0.7975
326,0.5448,0.124,10.8025,0.0076,1.1424,316.7581,BIC,TwoStageBetween,182-TwoStageWithin,,
327,,,9.2653,0.0577,1.1295,307.2703,BIC,TwoStageWithin,182-TwoStageWithin,0.9532,0.7336
328,1.0,0.9981,3.7146,0.0002,0.5181,188.6286,BIC,TwoStageBetween,184-TwoStageBetween,,
329,,,4.5771,0.0071,0.5663,220.7499,BIC,TwoStageWithin,184-TwoStageBetween,0.0452,0.8445
330,1.0,1.0,3.5167,0.0021,0.6114,229.3155,BIC,TwoStageBetween,184-TwoStageWithin,,
331,,,4.0054,0.022,0.59,217.7565,BIC,TwoStageWithin,184-TwoStageWithin,0.0,1.0
332,0.5303,1.0,10.5381,0.0143,1.0804,280.2074,BIC,TwoStageBetween,185-TwoStageBetween,,
333,,,11.8617,-0.0096,1.093,289.3772,BIC,TwoStageWithin,185-TwoStageBetween,0.8952,1.0
334,0.5802,1.0,6.6134,0.0216,1.1437,297.8814,BIC,TwoStageBetween,185-TwoStageWithin,,
335,,,10.1439,-0.0032,1.1196,280.7204,BIC,TwoStageWithin,185-TwoStageWithin,0.7468,1.0
336,0.5356,0.0,9.3462,0.0965,1.4119,214.6493,BIC,TwoStageBetween,186-TwoStageBetween,,
337,,,4.7417,-0.0032,1.4414,233.0171,BIC,TwoStageWithin,186-TwoStageBetween,0.6894,1.0
338,0.0057,1.0,2.5593,0.0804,1.4459,229.8885,BIC,TwoStageBetween,186-TwoStageWithin,,
339,,,16.5944,0.0211,1.446,229.9519,BIC,TwoStageWithin,186-TwoStageWithin,2.5859,0.0
340,0.4109,1.0,9.6706,0.0031,1.0809,271.5201,BIC,TwoStageBetween,188-TwoStageBetween,,
341,,,16.0645,0.0072,1.0806,271.313,BIC,TwoStageWithin,188-TwoStageBetween,1.3274,0.9124
342,0.4307,1.0,7.9892,0.0213,1.1322,278.7287,BIC,TwoStageBetween,188-TwoStageWithin,,
343,,,17.1483,0.001,1.1095,263.31,BIC,TwoStageWithin,188-TwoStageWithin,1.3336,0.665
344,0.6178,1.0,17.1919,-0.0046,1.678,45.7805,BIC,TwoStageBetween,189-TwoStageBetween,,
345,,,20.7563,0.0195,1.6561,36.3459,BIC,TwoStageWithin,189-TwoStageBetween,0.5646,1.0
346,0.6791,0.0,24.6012,-0.046,1.637,85.1404,BIC,TwoStageBetween,189-TwoStageWithin,,
347,,,16.8132,-0.0177,1.6547,93.8198,BIC,TwoStageWithin,189-TwoStageWithin,0.4046,0.5377
348,0.4547,1.0,23.6988,-0.0031,1.7983,9.6465,BIC,TwoStageBetween,19-TwoStageBetween,,
349,,,30.0,-0.0021,1.8187,18.4521,BIC,TwoStageWithin,19-TwoStageBetween,1.1172,1.0
350,0.5007,0.4037,29.9862,-0.0136,1.9219,8.4162,BIC,TwoStageBetween,19-TwoStageWithin,,
351,,,30.0,-0.0151,1.9102,3.4216,BIC,TwoStageWithin,19-TwoStageWithin,0.9494,0.909
352,0.5566,1.0,13.6051,-0.0438,1.498,139.8895,BIC,TwoStageBetween,190-TwoStageBetween,,
353,,,14.6728,0.0263,1.5046,143.4463,BIC,TwoStageWithin,190-TwoStageBetween,0.7807,1.0
354,0.589,0.6884,16.0993,-0.0039,1.4806,122.6455,BIC,TwoStageBetween,190-TwoStageWithin,,
355,,,17.8495,0.039,1.4742,119.3674,BIC,TwoStageWithin,190-TwoStageWithin,0.6743,0.6456
356,0.4737,0.4346,15.5741,0.0048,1.0592,229.0093,BIC,TwoStageBetween,191-TwoStageBetween,,
357,,,16.1073,0.0072,1.087,246.5553,BIC,TwoStageWithin,191-TwoStageBetween,1.1033,0.6369
358,0.5494,1.0,8.4702,0.0185,1.0777,312.3756,BIC,TwoStageBetween,191-TwoStageWithin,,
359,,,11.8182,0.0094,1.0614,299.9887,BIC,TwoStageWithin,191-TwoStageWithin,0.8705,1.0
360,1.0,0.2703,8.8142,-0.0059,0.6953,108.8146,BIC,TwoStageBetween,192-TwoStageBetween,,
361,,,6.3827,0.0243,0.7646,143.2043,BIC,TwoStageWithin,192-TwoStageBetween,0.027,0.8613
362,1.0,1.0,4.9499,-0.0153,0.746,166.8169,BIC,TwoStageBetween,192-TwoStageWithin,,
363,,,7.3227,0.0184,0.7267,155.8984,BIC,TwoStageWithin,192-TwoStageWithin,0.0194,0.5915
364,0.5267,0.9105,13.5589,0.0006,1.5994,120.672,BIC,TwoStageBetween,194-TwoStageBetween,,
365,,,17.9905,-0.0176,1.6159,129.2227,BIC,TwoStageWithin,194-TwoStageBetween,0.8965,0.4772
366,0.5678,1.0,7.6837,0.0123,1.5848,145.9594,BIC,TwoStageBetween,194-TwoStageWithin,,
367,,,11.1742,0.0753,1.5745,140.5888,BIC,TwoStageWithin,194-TwoStageWithin,0.7316,0.5703
368,0.8223,1.0,7.705,-0.0172,1.1687,175.958,BIC,TwoStageBetween,195-TwoStageBetween,,
369,,,6.4008,0.0177,1.2021,194.5969,BIC,TwoStageWithin,195-TwoStageBetween,0.1102,1.0
370,0.6761,0.5747,14.4958,0.0093,1.11,216.0826,BIC,TwoStageBetween,195-TwoStageWithin,,
371,,,13.7954,-0.0177,1.0843,199.5267,BIC,TwoStageWithin,195-TwoStageWithin,0.3971,0.848
372,0.5481,1.0,10.6359,-0.0144,1.5248,170.2071,BIC,TwoStageBetween,196-TwoStageBetween,,
373,,,15.1034,0.0151,1.5292,172.7034,BIC,TwoStageWithin,196-TwoStageBetween,0.8174,0.5028
374,0.5019,0.8956,12.8355,-0.0179,1.412,164.9389,BIC,TwoStageBetween,196-TwoStageWithin,,
375,,,19.1589,0.0248,1.3982,157.2608,BIC,TwoStageWithin,196-TwoStageWithin,0.988,0.7227
376,1.0,0.0,11.5436,0.0329,1.0484,146.0709,BIC,TwoStageBetween,197-TwoStageBetween,,
377,,,7.5522,-0.0014,1.0862,165.9406,BIC,TwoStageWithin,197-TwoStageBetween,0.028,0.619
378,0.9801,0.8947,6.6364,0.0255,1.0517,121.087,BIC,TwoStageBetween,197-TwoStageWithin,,
379,,,8.0059,0.022,1.0379,114.6078,BIC,TwoStageWithin,197-TwoStageWithin,0.0474,0.8917
380,0.5833,0.3899,21.4447,-0.0151,1.3931,166.9923,BIC,TwoStageBetween,198-TwoStageBetween,,
381,,,13.5166,0.018,1.4164,180.7149,BIC,TwoStageWithin,198-TwoStageBetween,0.6111,1.0
382,0.6145,1.0,12.7877,-0.0048,1.526,115.8482,BIC,TwoStageBetween,198-TwoStageWithin,,
383,,,16.3091,0.0398,1.5126,109.1412,BIC,TwoStageWithin,198-TwoStageWithin,0.7007,1.0
384,0.4082,1.0,11.5322,0.0294,1.3933,160.8339,BIC,TwoStageBetween,199-TwoStageBetween,,
385,,,14.9059,0.0173,1.4221,177.4716,BIC,TwoStageWithin,199-TwoStageBetween,1.2929,0.9488
386,0.3895,0.8891,8.3609,-0.0493,1.4473,179.3289,BIC,TwoStageBetween,199-TwoStageWithin,,
387,,,14.3762,0.0047,1.4356,172.7297,BIC,TwoStageWithin,199-TwoStageWithin,1.5651,1.0
388,0.6421,0.0,20.7177,-0.0103,1.6074,144.593,BIC,TwoStageBetween,2-TwoStageBetween,,
389,,,12.2181,-0.0104,1.6187,150.9575,BIC,TwoStageWithin,2-TwoStageBetween,0.4611,0.5843
390,0.6175,1.0,11.6048,0.0157,1.6227,135.0751,BIC,TwoStageBetween,2-TwoStageWithin,,
391,,,14.381,0.0829,1.5963,120.7702,BIC,TwoStageWithin,2-TwoStageWithin,0.4855,0.6909
392,0.646,1.0,15.7232,-0.0419,1.2672,124.7561,BIC,TwoStageBetween,20-TwoStageBetween,,
393,,,15.3746,-0.0099,1.3016,142.5246,BIC,TwoStageWithin,20-TwoStageBetween,0.5072,1.0
394,0.7116,1.0,10.8464,0.0224,1.4042,141.2796,BIC,TwoStageBetween,20-TwoStageWithin,,
395,,,17.007,-0.017,1.3722,123.9324,BIC,TwoStageWithin,20-TwoStageWithin,0.4366,0.8095
396,0.5429,1.0,11.5877,-0.0335,1.3259,217.549,BIC,TwoStageBetween,21-TwoStageBetween,,
397,,,10.8051,-0.0017,1.3486,232.435,BIC,TwoStageWithin,21-TwoStageBetween,0.7381,0.9354
398,0.5672,0.7343,17.9303,-0.0087,1.3093,149.1522,BIC,TwoStageBetween,21-TwoStageWithin,,
399,,,17.037,0.0209,1.3115,150.3295,BIC,TwoStageWithin,21-TwoStageWithin,0.7179,1.0
400,0.764,0.342,6.5615,-0.0236,0.8592,350.5037,BIC,TwoStageBetween,22-TwoStageBetween,,
401,,,4.6675,-0.0295,0.8661,355.6181,BIC,TwoStageWithin,22-TwoStageBetween,0.3011,1.0
402,0.826,0.0916,6.0861,-0.0359,0.848,370.4172,BIC,TwoStageBetween,22-TwoStageWithin,,
403,,,5.2359,0.0405,0.832,357.9144,BIC,TwoStageWithin,22-TwoStageWithin,0.1444,0.3131
404,0.7096,1.0,9.8465,0.0108,1.1486,224.9167,BIC,TwoStageBetween,23-TwoStageBetween,,
405,,,10.593,0.0132,1.1517,227.0034,BIC,TwoStageWithin,23-TwoStageBetween,0.368,0.9475
406,0.7042,0.5521,12.0161,0.0034,1.2059,195.3002,BIC,TwoStageBetween,23-TwoStageWithin,,
407,,,13.1552,0.0055,1.1854,183.7732,BIC,TwoStageWithin,23-TwoStageWithin,0.4141,0.7515
408,0.4453,0.3786,16.296,0.0196,1.0459,226.0566,BIC,TwoStageBetween,25-TwoStageBetween,,
409,,,14.7687,-0.0057,1.0771,245.9313,BIC,TwoStageWithin,25-TwoStageBetween,1.2609,1.0
410,0.4791,1.0,8.8052,-0.0217,1.016,324.9187,BIC,TwoStageBetween,25-TwoStageWithin,,
411,,,15.1252,-0.0078,0.9965,310.1513,BIC,TwoStageWithin,25-TwoStageWithin,1.0994,0.7524
412,0.9201,1.0,9.5239,-0.0067,0.9615,33.9454,BIC,TwoStageBetween,26-TwoStageBetween,,
413,,,10.7513,-0.0084,1.0148,57.1663,BIC,TwoStageWithin,26-TwoStageBetween,0.1243,1.0
414,1.0,1.0,7.8052,-0.0219,1.0283,65.5898,BIC,TwoStageBetween,26-TwoStageWithin,,
415,,,10.9298,-0.0127,0.9758,40.9396,BIC,TwoStageWithin,26-TwoStageWithin,0.0727,0.9464
416,0.4619,0.7377,7.1405,0.0603,1.2367,264.9188,BIC,TwoStageBetween,27-TwoStageBetween,,
417,,,6.5939,0.0145,1.2584,279.6469,BIC,TwoStageWithin,27-TwoStageBetween,1.164,1.0
418,0.5087,0.6567,11.4763,-0.0049,1.2027,269.2527,BIC,TwoStageBetween,27-TwoStageWithin,,
419,,,15.6424,-0.0152,1.1815,254.3888,BIC,TwoStageWithin,27-TwoStageWithin,0.9786,0.8239
420,0.5435,1.0,12.4407,-0.0151,1.0646,248.0356,BIC,TwoStageBetween,28-TwoStageBetween,,
421,,,15.7251,-0.0139,1.0705,251.9616,BIC,TwoStageWithin,28-TwoStageBetween,0.7546,0.7371
422,0.5573,1.0,10.355,-0.0095,1.0417,277.9015,BIC,TwoStageBetween,28-TwoStageWithin,,
423,,,13.4632,0.0411,1.0007,249.75,BIC,TwoStageWithin,28-TwoStageWithin,0.8199,1.0
424,0.6162,0.7089,7.2142,0.0002,0.9965,344.1947,BIC,TwoStageBetween,29-TwoStageBetween,,
425,,,6.3203,0.0287,1.0039,350.0323,BIC,TwoStageWithin,29-TwoStageBetween,0.5986,1.0
426,0.6427,0.4607,8.2626,0.0103,1.0294,336.4481,BIC,TwoStageBetween,29-TwoStageWithin,,
427,,,8.644,-0.05,1.0124,323.3587,BIC,TwoStageWithin,29-TwoStageWithin,0.5225,0.7444
428,0.6899,0.3971,15.8985,-0.0009,1.2836,176.3266,BIC,TwoStageBetween,3-TwoStageBetween,,
429,,,11.1596,0.0152,1.296,183.4769,BIC,TwoStageWithin,3-TwoStageBetween,0.3581,0.9049
430,0.6752,1.0,12.0293,0.0221,1.2089,165.9015,BIC,TwoStageBetween,3-TwoStageWithin,,
431,,,14.8121,-0.0151,1.193,156.9628,BIC,TwoStageWithin,3-TwoStageWithin,0.4807,1.0
432,0.7464,0.6132,2.2079,-0.0339,0.4868,322.0839,BIC,TwoStageBetween,30-TwoStageBetween,,
433,,,1.9967,-0.0168,0.5086,332.5342,BIC,TwoStageWithin,30-TwoStageBetween,0.3834,1.0
434,0.6897,1.0,1.9534,-0.0368,0.4964,297.9797,BIC,TwoStageBetween,30-TwoStageWithin,,
435,,,2.8636,0.0004,0.479,290.5783,BIC,TwoStageWithin,30-TwoStageWithin,0.4091,0.4831
436,0.3133,0.5187,5.2967,0.0671,1.2029,300.529,BIC,TwoStageBetween,31-TwoStageBetween,,
437,,,6.6105,-0.0412,1.2166,310.3868,BIC,TwoStageWithin,31-TwoStageBetween,1.3562,1.0
438,0.2567,0.0,6.087,0.036,1.1045,340.8006,BIC,TwoStageBetween,31-TwoStageWithin,,
439,,,7.688,0.0162,1.1059,341.8238,BIC,TwoStageWithin,31-TwoStageWithin,2.355,0.7745
440,0.5327,0.5421,7.1289,0.0635,1.0975,334.5423,BIC,TwoStageBetween,33-TwoStageBetween,,
441,,,6.331,-0.0159,1.1178,350.3553,BIC,TwoStageWithin,33-TwoStageBetween,0.7767,0.9082
442,0.535,0.7435,8.9482,-0.0151,1.0691,299.6944,BIC,TwoStageBetween,33-TwoStageWithin,,
443,,,9.9615,0.0105,1.0662,297.6685,BIC,TwoStageWithin,33-TwoStageWithin,0.8477,0.8185
444,0.4493,1.0,3.053,0.0387,1.0953,369.9411,BIC,TwoStageBetween,34-TwoStageBetween,,
445,,,3.712,-0.0037,1.101,374.7285,BIC,TwoStageWithin,34-TwoStageBetween,1.2661,1.0
446,0.1454,0.0554,4.5737,-0.0241,1.1461,305.88,BIC,TwoStageBetween,34-TwoStageWithin,,
447,,,16.8163,0.0289,1.1013,275.6295,BIC,TwoStageWithin,34-TwoStageWithin,3.761,0.3782
448,0.6844,1.0,6.054,0.0406,1.1239,287.4207,BIC,TwoStageBetween,35-TwoStageBetween,,
449,,,8.3643,0.0065,1.1346,295.1291,BIC,TwoStageWithin,35-TwoStageBetween,0.4053,0.5024
450,0.7326,0.1586,9.9481,0.0039,1.0733,281.1034,BIC,TwoStageBetween,35-TwoStageWithin,,
451,,,6.8571,0.013,1.0663,276.3663,BIC,TwoStageWithin,35-TwoStageWithin,0.3479,1.0
452,0.6808,0.442,10.8737,0.005,1.2804,478.7464,BIC,TwoStageBetween,36-TwoStageBetween,,
453,,,8.422,0.0264,1.2823,481.3524,BIC,TwoStageWithin,36-TwoStageBetween,0.4415,1.0
454,0.7157,0.452,11.1186,-0.0017,1.3107,380.1,BIC,TwoStageBetween,36-TwoStageWithin,,
455,,,7.7129,0.0188,1.3116,381.2882,BIC,TwoStageWithin,36-TwoStageWithin,0.3025,1.0
456,0.564,0.3659,11.5031,-0.0361,0.9707,336.2386,BIC,TwoStageBetween,38-TwoStageBetween,,
457,,,7.5699,-0.0085,0.9935,354.2288,BIC,TwoStageWithin,38-TwoStageBetween,0.7023,1.0
458,0.5456,0.6366,8.1807,-0.0136,0.9662,387.2258,BIC,TwoStageBetween,38-TwoStageWithin,,
459,,,10.8104,0.0003,0.9469,370.6496,BIC,TwoStageWithin,38-TwoStageWithin,0.7951,0.7115
460,0.485,0.4991,14.9291,-0.012,1.0725,254.5889,BIC,TwoStageBetween,39-TwoStageBetween,,
461,,,13.0503,0.0094,1.0924,267.886,BIC,TwoStageWithin,39-TwoStageBetween,0.9796,1.0
462,0.4819,1.0,7.9392,-0.0108,1.0893,303.2768,BIC,TwoStageBetween,39-TwoStageWithin,,
463,,,13.1612,0.018,1.0703,289.9227,BIC,TwoStageWithin,39-TwoStageWithin,1.0971,0.6629
464,0.3788,1.0,4.2161,-0.013,1.0513,365.6558,BIC,TwoStageBetween,4-TwoStageBetween,,
465,,,7.8174,-0.056,1.041,357.2389,BIC,TwoStageWithin,4-TwoStageBetween,1.4686,1.0
466,0.3212,0.2495,5.2267,0.0038,1.1619,339.1881,BIC,TwoStageBetween,4-TwoStageWithin,,
467,,,13.0856,-0.0272,1.1385,321.1483,BIC,TwoStageWithin,4-TwoStageWithin,1.5838,0.3261
468,0.5492,0.7285,3.7797,0.0043,0.7453,346.715,BIC,TwoStageBetween,40-TwoStageBetween,,
469,,,3.6793,-0.0129,0.7578,354.7773,BIC,TwoStageWithin,40-TwoStageBetween,0.8402,1.0
470,0.5252,1.0,2.5353,0.0066,0.7186,378.0266,BIC,TwoStageBetween,40-TwoStageWithin,,
471,,,4.1117,-0.0025,0.7161,376.2408,BIC,TwoStageWithin,40-TwoStageWithin,0.8773,0.7615
472,0.7762,1.0,1.1699,-0.2137,1.128,371.3262,BIC,TwoStageBetween,41-TwoStageBetween,,
473,,,0.5711,0.0668,1.1331,375.4457,BIC,TwoStageWithin,41-TwoStageBetween,0.3251,1.0
474,1.0,1.0,0.0683,-1.0,1.1708,355.3962,BIC,TwoStageBetween,41-TwoStageWithin,,
475,,,1.5,0.1053,1.1691,354.09,BIC,TwoStageWithin,41-TwoStageWithin,0.7985,0.0
476,0.6016,0.6269,9.8008,0.0026,0.9074,336.9595,BIC,TwoStageBetween,42-TwoStageBetween,,
477,,,8.5782,0.0007,0.912,340.5806,BIC,TwoStageWithin,42-TwoStageBetween,0.6116,1.0
478,0.6202,1.0,7.1281,-0.033,0.9067,351.0916,BIC,TwoStageBetween,42-TwoStageWithin,,
