,subject_id,presentation,higher_m,higher_p
0,0,attributes,0.6,0.5333333333333333
1,1,attributes,0.4666666666666667,0.5333333333333333
2,2,attributes,0.7333333333333333,0.7666666666666667
3,3,attributes,0.7666666666666667,0.8
4,4,attributes,0.3333333333333333,0.43333333333333335
5,5,attributes,0.2,0.23333333333333334
6,6,attributes,0.7333333333333333,0.8
7,7,attributes,0.5333333333333333,0.5
8,8,attributes,0.8666666666666667,0.8
9,10,attributes,0.8,0.7
10,11,attributes,0.4666666666666667,0.5
11,12,attributes,0.6333333333333333,0.7
12,13,attributes,0.4,0.6666666666666666
13,14,attributes,0.6333333333333333,0.7
14,16,attributes,0.7,0.7333333333333333
15,17,attributes,0.5,0.7
16,18,attributes,0.5,0.5333333333333333
17,19,attributes,0.6,0.4666666666666667
18,20,attributes,0.9,0.7666666666666667
19,21,attributes,0.6333333333333333,0.6
20,22,attributes,0.8333333333333334,0.7666666666666667
21,23,attributes,0.7,0.8
22,25,attributes,0.36666666666666664,0.5666666666666667
23,26,attributes,1.0,0.9333333333333333
24,27,attributes,0.43333333333333335,0.5
25,28,attributes,0.6333333333333333,0.6666666666666666
26,29,attributes,0.7,0.6666666666666666
27,30,attributes,0.8666666666666667,0.8
28,31,attributes,0.3333333333333333,0.43333333333333335
29,33,attributes,0.3333333333333333,0.6
30,34,attributes,0.3,0.5333333333333333
31,35,attributes,0.6,0.7333333333333333
32,36,attributes,0.7166666666666667,0.7166666666666667
33,38,attributes,0.6666666666666666,0.5333333333333333
34,39,attributes,0.5,0.4
35,40,attributes,0.5333333333333333,0.5666666666666667
36,41,attributes,0.6,0.4666666666666667
37,42,attributes,0.7333333333333333,0.8
38,43,attributes,0.8666666666666667,0.8333333333333334
39,44,attributes,0.9333333333333333,0.8666666666666667
40,45,attributes,0.1,0.06666666666666667
41,46,attributes,0.7,0.6666666666666666
42,47,attributes,1.0,1.0
43,48,attributes,0.3333333333333333,0.36666666666666664
44,49,attributes,0.9666666666666667,0.9333333333333333
45,50,attributes,0.13333333333333333,0.2
46,51,attributes,0.36666666666666664,0.2
47,52,attributes,0.9666666666666667,0.9666666666666667
48,53,attributes,0.7333333333333333,0.7333333333333333
49,54,attributes,0.4666666666666667,0.6666666666666666
50,55,attributes,0.4,0.5
51,56,attributes,1.0,0.9666666666666667
52,57,attributes,0.6333333333333333,0.5333333333333333
53,58,attributes,0.6333333333333333,0.5666666666666667
54,59,attributes,0.4666666666666667,0.5666666666666667
55,60,attributes,0.7,0.6666666666666666
56,61,attributes,0.6333333333333333,0.6
57,62,attributes,0.8,0.7666666666666667
58,64,attributes,0.7333333333333333,0.8333333333333334
59,65,attributes,0.7,0.7
60,66,attributes,0.5666666666666667,0.4666666666666667
61,67,attributes,0.7666666666666667,0.6333333333333333
62,68,attributes,0.06666666666666667,0.2
63,69,attributes,0.7333333333333333,0.7333333333333333
64,70,attributes,0.7,0.7
65,71,attributes,0.5,0.43333333333333335
66,72,attributes,0.9333333333333333,0.8
67,73,attributes,0.6,0.7666666666666667
68,74,attributes,0.6333333333333333,0.6333333333333333
69,75,attributes,0.8,0.9666666666666667
70,76,attributes,0.7333333333333333,0.6666666666666666
71,77,attributes,0.9333333333333333,0.9
72,78,attributes,0.5333333333333333,0.6333333333333333
73,79,attributes,0.9,0.7666666666666667
74,80,attributes,0.5666666666666667,0.6
75,81,attributes,0.5,0.4666666666666667
76,83,attributes,0.7666666666666667,0.6333333333333333
77,84,attributes,0.3333333333333333,0.6666666666666666
78,85,attributes,0.9333333333333333,0.9333333333333333
79,86,attributes,1.0,1.0
80,87,attributes,0.8333333333333334,0.8
81,88,attributes,0.7,0.6666666666666666
82,89,attributes,0.23333333333333334,0.43333333333333335
83,90,attributes,0.8666666666666667,0.8666666666666667
84,92,attributes,0.4666666666666667,0.5666666666666667
85,93,attributes,0.4666666666666667,0.5333333333333333
86,94,attributes,0.6,0.5
87,95,attributes,0.43333333333333335,0.5333333333333333
88,96,attributes,0.7,0.6
89,97,attributes,0.7666666666666667,0.6666666666666666
90,98,attributes,0.5666666666666667,0.6666666666666666
91,99,attributes,0.6,0.6666666666666666
92,100,attributes,0.5333333333333333,0.5666666666666667
93,101,attributes,0.9666666666666667,0.9666666666666667
94,102,attributes,0.6333333333333333,0.6666666666666666
95,103,attributes,0.7666666666666667,0.7666666666666667
96,104,attributes,0.7333333333333333,0.7333333333333333
97,105,attributes,0.5333333333333333,0.6
98,106,attributes,0.16666666666666666,0.43333333333333335
99,107,attributes,0.6666666666666666,0.6666666666666666
100,109,attributes,0.5,0.4666666666666667
101,110,attributes,0.9333333333333333,0.9666666666666667
102,111,attributes,0.3333333333333333,0.4
103,112,attributes,0.7333333333333333,0.7
104,113,attributes,0.16666666666666666,0.26666666666666666
105,114,attributes,0.7,0.7
106,115,attributes,0.6,0.6
107,116,attributes,0.7666666666666667,0.7
108,117,attributes,0.8,0.7666666666666667
109,120,attributes,0.7666666666666667,0.9
110,122,attributes,0.6333333333333333,0.6
111,123,attributes,0.4666666666666667,0.43333333333333335
112,124,attributes,0.43333333333333335,0.43333333333333335
113,125,attributes,0.7666666666666667,0.8333333333333334
114,126,attributes,0.7,0.7
115,127,attributes,0.5333333333333333,0.5333333333333333
116,128,attributes,0.7,0.4666666666666667
117,129,attributes,0.5666666666666667,0.6
118,131,attributes,0.6333333333333333,0.5
119,132,attributes,0.3,0.5666666666666667
120,133,attributes,0.8666666666666667,0.8333333333333334
121,134,attributes,0.5666666666666667,0.5333333333333333
122,135,attributes,0.26666666666666666,0.43333333333333335
123,136,attributes,0.8,0.8666666666666667
124,137,attributes,0.06666666666666667,0.03333333333333333
125,138,attributes,0.0,0.0
126,139,attributes,0.5333333333333333,0.5
127,140,attributes,0.8333333333333334,0.8
128,141,attributes,0.8666666666666667,0.7333333333333333
129,142,attributes,0.6333333333333333,0.6666666666666666
130,143,attributes,0.4,0.5333333333333333
131,144,attributes,0.5,0.5
132,145,attributes,0.6,0.6666666666666666
133,146,attributes,0.7666666666666667,0.7333333333333333
134,147,attributes,0.6,0.8
135,148,attributes,0.8,0.6333333333333333
136,149,attributes,0.9666666666666667,0.9333333333333333
137,150,attributes,0.4,0.5666666666666667
138,151,attributes,0.7,0.7333333333333333
139,153,attributes,0.36666666666666664,0.5333333333333333
140,154,attributes,0.9,0.9666666666666667
141,155,attributes,0.7333333333333333,0.7666666666666667
142,156,attributes,0.6666666666666666,0.7333333333333333
143,157,attributes,1.0,1.0
144,159,attributes,0.5666666666666667,0.6333333333333333
145,160,attributes,0.5333333333333333,0.7333333333333333
146,161,attributes,0.7666666666666667,0.8333333333333334
147,162,attributes,0.43333333333333335,0.43333333333333335
148,163,attributes,0.6333333333333333,0.4
149,164,attributes,0.7,0.6
150,166,attributes,0.23333333333333334,0.3333333333333333
151,167,attributes,0.4666666666666667,0.4
152,168,attributes,0.9666666666666667,0.9333333333333333
153,170,attributes,0.7333333333333333,0.7
154,171,attributes,0.6333333333333333,0.36666666666666664
155,172,attributes,0.1,0.16666666666666666
156,174,attributes,0.6,0.43333333333333335
157,175,attributes,0.5333333333333333,0.6666666666666666
158,176,attributes,0.5333333333333333,0.7666666666666667
159,177,attributes,0.5333333333333333,0.7
160,178,attributes,0.7666666666666667,0.7
161,179,attributes,0.23333333333333334,0.26666666666666666
162,180,attributes,0.7333333333333333,0.7
163,182,attributes,0.5,0.6
164,184,attributes,1.0,0.9333333333333333
165,185,attributes,0.5666666666666667,0.6333333333333333
166,186,attributes,0.26666666666666666,0.6333333333333333
167,188,attributes,0.3333333333333333,0.43333333333333335
168,189,attributes,0.8,0.7666666666666667
169,190,attributes,0.5666666666666667,0.3333333333333333
170,191,attributes,0.36666666666666664,0.4
171,192,attributes,1.0,1.0
172,194,attributes,0.5333333333333333,0.6666666666666666
173,195,attributes,0.8666666666666667,0.8333333333333334
174,196,attributes,0.4,0.6
175,197,attributes,0.9666666666666667,0.9666666666666667
176,198,attributes,0.7,0.6666666666666666
177,199,attributes,0.36666666666666664,0.3333333333333333
