,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,P>0
1|subject_id[43],-1.881,0.34,-2.541,-1.222,0.007,0.005,2100.0,2100.0,2093.0,4833.0,1.0,
1|subject_id[44],2.579,0.451,1.722,3.473,0.007,0.005,3896.0,3896.0,3857.0,6131.0,1.0,
1|subject_id[45],-2.354,0.337,-3.02,-1.71,0.007,0.005,2450.0,2435.0,2475.0,4677.0,1.0,
1|subject_id[46],-1.211,0.251,-1.708,-0.73,0.007,0.005,1173.0,1173.0,1171.0,3215.0,1.0,
1|subject_id[47],2.85,0.46,1.964,3.76,0.008,0.006,3481.0,3436.0,3543.0,5486.0,1.0,
1|subject_id[48],0.537,0.29,-0.028,1.104,0.007,0.005,1953.0,1953.0,1948.0,3658.0,1.0,
1|subject_id[49],-0.825,0.305,-1.419,-0.229,0.008,0.005,1654.0,1654.0,1650.0,4721.0,1.0,
1|subject_id[50],-1.384,0.305,-1.99,-0.801,0.007,0.005,1911.0,1911.0,1904.0,4297.0,1.0,
1|subject_id[51],2.552,0.419,1.752,3.366,0.008,0.006,2590.0,2590.0,2539.0,5393.0,1.0,
1|subject_id[52],-0.413,0.29,-1.009,0.138,0.007,0.005,1821.0,1821.0,1815.0,4066.0,1.0,
1|subject_id[53],-0.136,0.25,-0.636,0.349,0.007,0.005,1228.0,1228.0,1229.0,2973.0,1.0,
1|subject_id[54],-0.567,0.249,-1.076,-0.1,0.007,0.005,1299.0,1299.0,1299.0,3577.0,1.0,
1|subject_id[55],0.45,0.247,-0.026,0.935,0.007,0.005,1191.0,1191.0,1192.0,2758.0,1.0,
1|subject_id[56],-0.19,0.266,-0.724,0.318,0.007,0.005,1340.0,1340.0,1340.0,3304.0,1.0,
1|subject_id[57],0.859,0.283,0.312,1.406,0.007,0.005,1789.0,1789.0,1790.0,4533.0,1.0,
1|subject_id[58],0.606,0.274,0.084,1.158,0.007,0.005,1468.0,1468.0,1462.0,3546.0,1.0,
1|subject_id[59],0.548,0.316,-0.064,1.174,0.007,0.005,1900.0,1900.0,1914.0,4525.0,1.0,
1|subject_id[60],-0.218,0.263,-0.724,0.296,0.007,0.005,1505.0,1505.0,1502.0,3672.0,1.0,
1|subject_id[61],0.754,0.25,0.257,1.242,0.007,0.005,1364.0,1364.0,1363.0,3218.0,1.0,
