,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,P>0
delta_ev_z|subject_id[36],-1.953,0.221,-2.385,-1.521,0.004,0.003,3843.0,3843.0,3840.0,5559.0,1.0,
delta_ev_z|subject_id[37],1.073,0.566,0.033,2.221,0.006,0.005,8564.0,6929.0,8705.0,5265.0,1.0,
delta_ev_z|subject_id[38],-0.658,0.322,-1.258,-0.007,0.004,0.003,5663.0,5663.0,5710.0,5850.0,1.0,
delta_ev_z|subject_id[39],-0.262,0.384,-0.975,0.5,0.005,0.004,5729.0,5729.0,5846.0,6098.0,1.0,
delta_ev_z|subject_id[40],-1.114,0.35,-1.801,-0.433,0.005,0.003,5082.0,5082.0,5119.0,5446.0,1.0,
delta_ev_z|subject_id[41],0.757,0.506,-0.233,1.731,0.006,0.005,7608.0,5996.0,7787.0,6041.0,1.0,
delta_ev_z|subject_id[42],-1.602,0.543,-2.664,-0.52,0.006,0.005,7902.0,7126.0,7959.0,6037.0,1.0,
delta_ev_z|subject_id[43],1.007,0.57,-0.069,2.173,0.008,0.006,5663.0,5339.0,5740.0,6171.0,1.0,
delta_ev_z|subject_id[44],-0.65,0.353,-1.331,0.056,0.005,0.003,5822.0,5822.0,5870.0,5793.0,1.0,
delta_ev_z|subject_id[45],-0.288,0.403,-1.045,0.517,0.006,0.004,4685.0,4685.0,4807.0,4938.0,1.0,
delta_ev_z|subject_id[46],-1.098,0.284,-1.631,-0.527,0.004,0.003,4702.0,4702.0,4725.0,5942.0,1.0,
delta_ev_z|subject_id[47],-1.741,0.437,-2.603,-0.9,0.005,0.004,7132.0,6985.0,7147.0,6001.0,1.0,
delta_ev_z|subject_id[48],0.908,0.542,-0.11,2.001,0.006,0.005,8280.0,6453.0,8508.0,5738.0,1.0,
delta_ev_z|subject_id[49],1.768,0.621,0.585,2.999,0.008,0.006,5631.0,5234.0,5691.0,5327.0,1.0,
delta_ev_z|subject_id[50],0.948,0.547,-0.102,2.018,0.007,0.005,5790.0,5790.0,5769.0,6443.0,1.0,
delta_ev_z|subject_id[51],-1.328,0.368,-2.059,-0.61,0.005,0.003,5916.0,5916.0,5927.0,5826.0,1.0,
delta_ev_z|subject_id[52],1.263,0.565,0.173,2.377,0.007,0.005,6559.0,5901.0,6615.0,5685.0,1.0,
delta_ev_z|subject_id[53],-0.414,0.355,-1.077,0.314,0.005,0.003,5820.0,5820.0,5911.0,5555.0,1.0,
delta_ev_z|subject_id[54],-0.445,0.358,-1.144,0.245,0.005,0.003,5551.0,5551.0,5630.0,6005.0,1.0,
delta_ev_z|subject_id[55],-0.742,0.321,-1.354,-0.113,0.004,0.003,5513.0,5513.0,5631.0,5650.0,1.0,
delta_ev_z|subject_id[56],0.556,0.484,-0.382,1.49,0.006,0.005,7201.0,4622.0,7510.0,4820.0,1.0,
delta_ev_z|subject_id[57],0.061,0.434,-0.792,0.905,0.005,0.005,7992.0,3999.0,8236.0,5928.0,1.0,
delta_ev_z|subject_id[58],-0.063,0.413,-0.84,0.765,0.005,0.004,5831.0,4380.0,5960.0,5830.0,1.0,
delta_ev_z|subject_id[59],1.675,0.622,0.435,2.846,0.007,0.005,8638.0,7390.0,8825.0,5862.0,1.0,
delta_ev_z|subject_id[60],0.379,0.467,-0.49,1.308,0.005,0.005,7426.0,5224.0,7597.0,5899.0,1.0,
delta_ev_z|subject_id[61],-1.014,0.284,-1.566,-0.454,0.004,0.003,5137.0,5137.0,5212.0,5186.0,1.0,
delta_ev_z|subject_id[62],-1.468,0.363,-2.19,-0.775,0.005,0.003,5596.0,5596.0,5664.0,6236.0,1.0,
delta_ev_z|subject_id[63],0.607,0.499,-0.352,1.599,0.006,0.005,7619.0,5229.0,7869.0,5734.0,1.0,
delta_ev_z|subject_id[64],1.271,0.557,0.221,2.379,0.006,0.005,7891.0,7381.0,7905.0,7136.0,1.0,
delta_ev_z|subject_id[65],2.043,0.675,0.752,3.419,0.009,0.006,5849.0,5524.0,5909.0,6529.0,1.0,
delta_ev_z|subject_id[66],-0.801,0.31,-1.411,-0.216,0.004,0.003,5927.0,5819.0,5947.0,5799.0,1.0,
delta_ev_z|subject_id[67],-0.141,0.394,-0.911,0.61,0.005,0.004,5844.0,5141.0,5969.0,5344.0,1.0,
delta_ev_z|subject_id[68],-1.303,0.25,-1.791,-0.814,0.004,0.003,4581.0,4581.0,4590.0,5887.0,1.0,
delta_ev_z|subject_id[69],-1.308,0.274,-1.854,-0.776,0.004,0.003,5543.0,5543.0,5572.0,5815.0,1.0,
delta_ev_z|subject_id[70],-0.499,0.355,-1.151,0.23,0.004,0.003,6457.0,6457.0,6633.0,5624.0,1.0,
delta_ev_z|subject_id[71],-0.66,0.33,-1.3,-0.006,0.004,0.003,6221.0,5855.0,6211.0,5936.0,1.0,
delta_ev_z|subject_id[72],2.091,0.668,0.81,3.408,0.008,0.006,7297.0,6768.0,7385.0,6931.0,1.0,
delta_ev_z|subject_id[73],-1.205,0.285,-1.724,-0.612,0.004,0.003,4933.0,4867.0,4929.0,5628.0,1.0,
delta_ev_z|subject_id[74],2.379,0.703,0.975,3.718,0.01,0.007,5254.0,5096.0,5300.0,6154.0,1.0,
delta_ev_z|subject_id[75],0.948,0.53,-0.12,1.932,0.007,0.005,6310.0,5888.0,6277.0,6673.0,1.0,
delta_ev_z|subject_id[76],0.123,0.434,-0.752,0.928,0.005,0.005,8496.0,4474.0,8598.0,6489.0,1.0,
delta_ev_z|subject_id[77],-0.196,0.405,-0.943,0.615,0.005,0.004,5831.0,5164.0,5970.0,5306.0,1.0,
delta_ev_z|subject_id[78],-1.424,0.327,-2.043,-0.766,0.004,0.003,5924.0,5924.0,5940.0,6231.0,1.0,
delta_ev_z|subject_id[79],-1.555,0.481,-2.504,-0.631,0.006,0.004,6739.0,6484.0,6758.0,5903.0,1.0,
delta_ev_z|subject_id[80],-0.439,0.351,-1.068,0.307,0.004,0.003,6327.0,6320.0,6403.0,6221.0,1.0,
delta_ev_z|subject_id[81],1.304,0.569,0.219,2.443,0.006,0.005,8622.0,7059.0,8866.0,6049.0,1.0,
delta_ev_z|subject_id[82],-1.155,0.284,-1.686,-0.587,0.004,0.003,4609.0,4609.0,4643.0,5445.0,1.0,
delta_ev_z|subject_id[83],-0.032,0.425,-0.85,0.815,0.005,0.004,6967.0,4638.0,7311.0,6010.0,1.0,
delta_ev_z|subject_id[84],-1.068,0.275,-1.598,-0.519,0.004,0.003,5006.0,5006.0,5039.0,6442.0,1.0,
delta_ev_z|subject_id[85],-0.668,0.33,-1.285,-0.014,0.004,0.003,5794.0,5794.0,5882.0,6759.0,1.0,
delta_ev_z|subject_id[86],0.711,0.508,-0.238,1.74,0.006,0.004,7143.0,6522.0,7154.0,6652.0,1.0,
delta_ev_z|subject_id[87],0.028,0.432,-0.794,0.9,0.005,0.004,6565.0,5179.0,6657.0,6470.0,1.0,
delta_ev_z|subject_id[88],0.879,0.518,-0.155,1.865,0.007,0.005,5844.0,5219.0,5913.0,6107.0,1.0,
delta_ev_z|subject_id[89],0.077,0.422,-0.701,0.922,0.005,0.004,7245.0,4721.0,7377.0,6960.0,1.0,
delta_ev_z|subject_id[90],0.586,0.487,-0.34,1.571,0.006,0.004,6805.0,5986.0,6795.0,6202.0,1.0,
delta_ev_z|subject_id[91],-0.19,0.392,-0.931,0.581,0.005,0.004,6862.0,5497.0,6935.0,6037.0,1.0,
delta_ev_z|subject_id[92],-0.32,0.371,-1.032,0.423,0.005,0.003,6442.0,6412.0,6542.0,6398.0,1.0,
delta_ev_z|subject_id[93],-2.096,0.413,-2.901,-1.3,0.005,0.003,8011.0,7543.0,8073.0,6100.0,1.0,
delta_ev_z|subject_id[94],1.361,0.574,0.24,2.46,0.007,0.005,6817.0,6466.0,6821.0,6426.0,1.0,
delta_ev_z|subject_id[95],-0.135,0.404,-0.908,0.664,0.005,0.004,6366.0,4721.0,6528.0,5327.0,1.0,
delta_ev_z|subject_id[96],-0.04,0.415,-0.861,0.755,0.005,0.005,6472.0,4133.0,6592.0,6275.0,1.0,
delta_ev_z|subject_id[97],2.096,0.652,0.813,3.355,0.009,0.006,5454.0,5212.0,5537.0,5726.0,1.0,
delta_ev_z|subject_id[98],-1.028,0.303,-1.592,-0.413,0.004,0.003,4870.0,4870.0,4899.0,5877.0,1.0,
delta_ev_z|subject_id[99],-1.833,0.227,-2.267,-1.377,0.003,0.002,4292.0,4281.0,4302.0,5467.0,1.0,
delta_ev_z|subject_id[100],-0.687,0.333,-1.331,-0.024,0.004,0.003,5574.0,5574.0,5735.0,5061.0,1.0,
delta_ev_z|subject_id[101],-1.581,0.419,-2.41,-0.748,0.005,0.004,6711.0,6489.0,6724.0,5867.0,1.0,
delta_ev_z|subject_id[102],0.111,0.456,-0.713,1.06,0.006,0.005,5454.0,4313.0,5591.0,5204.0,1.0,
delta_ev_z|subject_id[103],1.488,0.61,0.291,2.661,0.007,0.005,8028.0,6718.0,8218.0,5701.0,1.0,
delta_ev_z|subject_id[104],-1.298,0.284,-1.824,-0.718,0.004,0.003,4853.0,4853.0,4858.0,6407.0,1.0,
delta_ev_z|subject_id[105],1.501,0.605,0.363,2.727,0.007,0.005,8144.0,6892.0,8290.0,5609.0,1.0,
delta_ev_z|subject_id[106],3.354,0.785,1.865,4.913,0.01,0.007,5769.0,5545.0,5862.0,5860.0,1.0,
delta_ev_z|subject_id[107],1.688,0.623,0.499,2.936,0.007,0.005,8468.0,7212.0,8652.0,6085.0,1.0,
delta_ev_z|subject_id[108],0.703,0.544,-0.336,1.772,0.006,0.005,7073.0,5096.0,7367.0,5094.0,1.0,
delta_ev_z|subject_id[109],-0.101,0.4,-0.85,0.678,0.005,0.004,7743.0,4240.0,7905.0,5913.0,1.0,
delta_ev_z|subject_id[110],0.667,0.505,-0.28,1.692,0.006,0.005,7424.0,6177.0,7510.0,6027.0,1.0,
delta_ev_z|subject_id[111],1.433,0.594,0.242,2.587,0.008,0.006,5948.0,5826.0,5972.0,6236.0,1.0,
delta_ev_z|subject_id[112],1.838,0.663,0.53,3.107,0.009,0.007,5382.0,5065.0,5481.0,5617.0,1.0,
delta_ev_z|subject_id[113],0.829,0.555,-0.231,1.889,0.006,0.005,8917.0,6720.0,9170.0,6291.0,1.0,
delta_ev_z|subject_id[114],-0.096,0.404,-0.883,0.7,0.005,0.004,6770.0,4699.0,6899.0,6040.0,1.0,
delta_ev_z|subject_id[115],0.452,0.468,-0.432,1.37,0.006,0.005,6323.0,4742.0,6488.0,5853.0,1.0,
delta_ev_z|subject_id[116],-0.712,0.319,-1.328,-0.09,0.004,0.003,5841.0,5541.0,5818.0,5865.0,1.0,
delta_ev_z|subject_id[117],0.23,0.452,-0.621,1.11,0.006,0.005,6130.0,4374.0,6242.0,5587.0,1.0,
delta_ev_z|subject_id[118],0.139,0.433,-0.719,0.962,0.006,0.004,6013.0,5176.0,6042.0,6458.0,1.0,
delta_ev_z|subject_id[119],1.047,0.563,-0.065,2.13,0.007,0.005,6665.0,5987.0,6751.0,6545.0,1.0,
delta_ev_z|subject_id[120],-0.407,0.359,-1.09,0.313,0.005,0.004,4978.0,4978.0,5137.0,4533.0,1.0,
delta_ev_z|subject_id[121],0.852,0.528,-0.154,1.916,0.007,0.006,5561.0,4514.0,5684.0,5212.0,1.0,
delta_ev_z|subject_id[122],-1.514,0.256,-2.026,-1.019,0.004,0.003,4672.0,4672.0,4683.0,6110.0,1.0,
delta_ev_z|subject_id[123],0.021,0.426,-0.769,0.887,0.005,0.005,8864.0,4338.0,8883.0,6668.0,1.0,
delta_ev_z|subject_id[124],-1.42,0.39,-2.179,-0.651,0.005,0.004,5990.0,5990.0,6007.0,5665.0,1.0,
delta_ev_z|subject_id[125],-1.56,0.616,-2.74,-0.351,0.007,0.005,7506.0,7479.0,7474.0,6970.0,1.0,
delta_ev_z|subject_id[126],0.01,0.414,-0.779,0.835,0.005,0.004,5871.0,4624.0,5949.0,5846.0,1.0,
delta_ev_z|subject_id[127],-1.107,0.287,-1.65,-0.53,0.004,0.003,6312.0,6312.0,6352.0,6230.0,1.0,
delta_ev_z|subject_id[128],-0.67,0.327,-1.269,-0.008,0.004,0.003,5272.0,5272.0,5351.0,5893.0,1.0,
delta_ev_z|subject_id[129],1.416,0.583,0.281,2.542,0.007,0.005,7259.0,6516.0,7309.0,6183.0,1.0,
delta_ev_z|subject_id[130],0.365,0.467,-0.538,1.279,0.006,0.005,5799.0,5216.0,5821.0,5676.0,1.0,
delta_ev_z|subject_id[131],0.472,0.482,-0.462,1.408,0.006,0.005,5731.0,5183.0,5802.0,6036.0,1.0,
delta_ev_z|subject_id[132],1.474,0.585,0.338,2.615,0.006,0.005,9092.0,7989.0,9258.0,6671.0,1.0,
delta_ev_z|subject_id[133],0.308,0.462,-0.56,1.239,0.005,0.005,8433.0,4935.0,8784.0,6283.0,1.0,
delta_ev_z|subject_id[134],0.28,0.463,-0.6,1.195,0.006,0.005,6397.0,4430.0,6523.0,5187.0,1.0,
delta_ev_z|subject_id[135],-0.421,0.355,-1.108,0.275,0.004,0.003,6798.0,6265.0,6949.0,5937.0,1.0,
delta_ev_z|subject_id[136],-1.567,0.381,-2.318,-0.828,0.005,0.003,6771.0,6638.0,6785.0,5299.0,1.0,
delta_ev_z|subject_id[137],-0.038,0.417,-0.794,0.833,0.006,0.004,5486.0,5119.0,5594.0,6182.0,1.0,
delta_ev_z|subject_id[138],0.358,0.469,-0.54,1.271,0.006,0.005,6651.0,4108.0,6754.0,5871.0,1.0,
delta_ev_z|subject_id[139],0.434,0.483,-0.481,1.409,0.006,0.005,6866.0,5179.0,6988.0,5984.0,1.0,
delta_ev_z|subject_id[140],-1.298,0.37,-2.042,-0.593,0.005,0.003,6530.0,6384.0,6536.0,5988.0,1.0,
delta_ev_z|subject_id[141],-1.476,0.255,-1.98,-0.98,0.004,0.003,4489.0,4489.0,4503.0,5636.0,1.0,
delta_ev_z|subject_id[142],1.425,0.592,0.294,2.599,0.007,0.005,7699.0,6501.0,7895.0,5735.0,1.0,
delta_ev_z|subject_id[143],-1.368,0.591,-2.594,-0.26,0.007,0.005,7759.0,7225.0,7828.0,6051.0,1.0,
delta_ev_z|subject_id[144],1.468,0.593,0.403,2.724,0.008,0.005,6162.0,5825.0,6235.0,5908.0,1.0,
delta_ev_z|subject_id[145],0.142,0.439,-0.647,1.072,0.005,0.005,7166.0,4087.0,7306.0,5807.0,1.0,
delta_ev_z|subject_id[146],0.881,0.57,-0.184,2.023,0.007,0.005,7358.0,5641.0,7696.0,6016.0,1.0,
delta_ev_z|subject_id[147],0.525,0.494,-0.433,1.479,0.006,0.005,6616.0,5700.0,6710.0,6778.0,1.0,
delta_ev_z|subject_id[148],-1.544,0.229,-1.993,-1.106,0.004,0.003,4152.0,4152.0,4155.0,5041.0,1.0,
delta_ev_z|subject_id[149],1.435,0.572,0.362,2.58,0.006,0.005,9659.0,7817.0,10015.0,6014.0,1.0,
delta_ev_z|subject_id[150],-0.238,0.404,-0.985,0.571,0.005,0.004,5831.0,5831.0,5982.0,5927.0,1.0,
delta_ev_z|subject_id[151],-0.994,0.296,-1.564,-0.417,0.004,0.003,4571.0,4571.0,4602.0,5822.0,1.0,
delta_ev_z|subject_id[152],-1.043,0.324,-1.654,-0.392,0.005,0.003,4941.0,4934.0,4952.0,5238.0,1.0,
delta_ev_z|subject_id[153],1.103,0.543,0.079,2.193,0.006,0.004,9706.0,8516.0,9702.0,6905.0,1.0,
delta_ev_z|subject_id[154],-0.576,0.343,-1.218,0.131,0.005,0.003,4914.0,4914.0,4940.0,6251.0,1.0,
delta_ev_z|subject_id[155],-0.505,0.378,-1.25,0.22,0.005,0.003,6090.0,6090.0,6157.0,6034.0,1.0,
delta_ev_z|subject_id[156],1.386,0.593,0.282,2.591,0.007,0.005,6397.0,6005.0,6435.0,6070.0,1.0,
delta_ev_z|subject_id[157],1.474,0.595,0.343,2.65,0.007,0.005,6903.0,6403.0,7029.0,6481.0,1.0,
delta_ev_z|subject_id[158],-1.102,0.276,-1.636,-0.566,0.004,0.003,5404.0,5354.0,5409.0,5207.0,1.0,
delta_ev_z|subject_id[159],0.748,0.512,-0.234,1.768,0.006,0.005,6506.0,5494.0,6656.0,5968.0,1.0,
delta_ev_z|subject_id[160],-0.534,0.339,-1.161,0.155,0.005,0.003,5168.0,4805.0,5143.0,5750.0,1.0,
delta_ev_z|subject_id[161],-0.148,0.425,-0.954,0.703,0.006,0.004,5531.0,5531.0,5641.0,5962.0,1.0,
delta_ev_z|subject_id[162],-0.972,0.29,-1.552,-0.417,0.004,0.003,5191.0,5191.0,5291.0,4823.0,1.0,
delta_ev_z|subject_id[163],-0.569,0.344,-1.238,0.105,0.005,0.003,5263.0,5235.0,5252.0,6369.0,1.0,
delta_ev_z|subject_id[164],-1.543,0.48,-2.488,-0.616,0.005,0.004,7659.0,7231.0,7684.0,6350.0,1.0,
delta_ev_z|subject_id[165],0.455,0.485,-0.467,1.408,0.006,0.005,7344.0,5702.0,7431.0,6707.0,1.0,
delta_ev_z|subject_id[166],-1.518,0.235,-1.97,-1.061,0.004,0.003,3866.0,3836.0,3860.0,5907.0,1.0,
delta_ev_z|subject_id[167],1.348,0.637,0.147,2.622,0.009,0.006,5444.0,4886.0,5544.0,5381.0,1.0,
delta_ev_z|subject_id[168],0.467,0.489,-0.439,1.455,0.006,0.005,7066.0,4861.0,7285.0,5540.0,1.0,
delta_ev_z|subject_id[169],0.237,0.449,-0.571,1.157,0.005,0.004,6783.0,5204.0,6879.0,6158.0,1.0,
delta_ev_z|subject_id[170],2.563,0.743,1.084,4.019,0.01,0.007,5701.0,5452.0,5737.0,5642.0,1.0,
delta_ev_z|subject_id[171],-1.354,0.598,-2.539,-0.179,0.008,0.005,6245.0,6245.0,6232.0,5785.0,1.0,
delta_ev_z|subject_id[172],-0.157,0.401,-0.895,0.654,0.005,0.004,6400.0,4763.0,6507.0,5391.0,1.0,
delta_ev_z|subject_id[173],-0.298,0.376,-1.018,0.449,0.005,0.004,5907.0,5484.0,5961.0,5953.0,1.0,
delta_ev_z|subject_id[174],0.589,0.498,-0.412,1.534,0.006,0.005,6603.0,5349.0,6693.0,5775.0,1.0,
delta_ev_z|subject_id[175],-1.67,0.425,-2.535,-0.883,0.005,0.004,7403.0,7178.0,7416.0,6107.0,1.0,
delta_ev_z|subject_id[176],0.526,0.483,-0.38,1.471,0.006,0.005,7225.0,5329.0,7358.0,5635.0,1.0,
delta_ev_z|subject_id[177],-0.778,0.323,-1.394,-0.143,0.005,0.003,5001.0,5001.0,5069.0,6207.0,1.0,
duration_favours_fx|subject_id_sigma,0.056,0.042,0.0,0.134,0.001,0.0,3862.0,3862.0,3524.0,4169.0,1.0,1.0
duration_favours_fx|subject_id[0],-0.0,0.065,-0.137,0.148,0.001,0.001,7686.0,4838.0,8002.0,6664.0,1.0,
duration_favours_fx|subject_id[1],0.003,0.066,-0.132,0.152,0.001,0.001,8205.0,5518.0,8928.0,6280.0,1.0,
duration_favours_fx|subject_id[2],0.013,0.068,-0.12,0.172,0.001,0.001,7299.0,5083.0,8048.0,6065.0,1.0,
duration_favours_fx|subject_id[3],0.0,0.068,-0.15,0.146,0.001,0.001,7840.0,5967.0,8249.0,6869.0,1.0,
duration_favours_fx|subject_id[4],0.005,0.068,-0.133,0.164,0.001,0.001,6733.0,5567.0,7351.0,6130.0,1.0,
duration_favours_fx|subject_id[5],0.011,0.071,-0.132,0.171,0.001,0.001,7094.0,4609.0,8066.0,6122.0,1.0,
duration_favours_fx|subject_id[6],-0.002,0.068,-0.14,0.156,0.001,0.001,8338.0,6167.0,8884.0,7215.0,1.0,
duration_favours_fx|subject_id[7],-0.003,0.067,-0.153,0.139,0.001,0.001,8233.0,5515.0,8827.0,6606.0,1.0,
duration_favours_fx|subject_id[8],-0.019,0.075,-0.197,0.111,0.001,0.001,5869.0,3793.0,7442.0,6311.0,1.0,
duration_favours_fx|subject_id[9],0.001,0.067,-0.135,0.15,0.001,0.001,7321.0,3900.0,7825.0,6057.0,1.0,
duration_favours_fx|subject_id[10],-0.005,0.068,-0.15,0.145,0.001,0.001,6199.0,4533.0,7007.0,5391.0,1.0,
duration_favours_fx|subject_id[11],0.002,0.068,-0.156,0.148,0.001,0.001,7531.0,5604.0,7637.0,6891.0,1.0,
duration_favours_fx|subject_id[12],0.016,0.07,-0.118,0.18,0.001,0.001,7017.0,5386.0,7726.0,6526.0,1.0,
duration_favours_fx|subject_id[13],-0.003,0.068,-0.153,0.14,0.001,0.001,7295.0,5417.0,7362.0,6003.0,1.0,
duration_favours_fx|subject_id[14],0.015,0.069,-0.112,0.18,0.001,0.001,6856.0,5700.0,7581.0,6843.0,1.0,
duration_favours_fx|subject_id[15],0.003,0.066,-0.135,0.152,0.001,0.001,7977.0,5299.0,8604.0,6510.0,1.0,
duration_favours_fx|subject_id[16],0.005,0.069,-0.156,0.145,0.001,0.001,7730.0,4667.0,8662.0,6021.0,1.0,
duration_favours_fx|subject_id[17],-0.001,0.069,-0.149,0.152,0.001,0.001,8471.0,4459.0,9778.0,6651.0,1.0,
duration_favours_fx|subject_id[18],-0.007,0.07,-0.171,0.132,0.001,0.001,7743.0,4808.0,8644.0,5496.0,1.0,
duration_favours_fx|subject_id[19],0.002,0.066,-0.133,0.152,0.001,0.001,7307.0,4827.0,8111.0,6180.0,1.0,
duration_favours_fx|subject_id[20],0.02,0.073,-0.121,0.182,0.001,0.001,6357.0,4133.0,7306.0,6003.0,1.0,
duration_favours_fx|subject_id[21],-0.009,0.067,-0.145,0.15,0.001,0.001,7287.0,5474.0,7851.0,6407.0,1.0,
duration_favours_fx|subject_id[22],0.014,0.071,-0.125,0.169,0.001,0.001,7243.0,4092.0,8894.0,5687.0,1.0,
duration_favours_fx|subject_id[23],-0.008,0.073,-0.181,0.136,0.001,0.001,8609.0,4555.0,10040.0,6168.0,1.0,
duration_favours_fx|subject_id[24],0.006,0.068,-0.141,0.151,0.001,0.001,7247.0,4803.0,7968.0,6063.0,1.0,
duration_favours_fx|subject_id[25],-0.002,0.068,-0.159,0.133,0.001,0.001,8368.0,5010.0,9211.0,5944.0,1.0,
duration_favours_fx|subject_id[26],-0.004,0.066,-0.146,0.142,0.001,0.001,8109.0,5442.0,8779.0,6948.0,1.0,
duration_favours_fx|subject_id[27],-0.005,0.067,-0.161,0.129,0.001,0.001,9055.0,5635.0,9881.0,6511.0,1.0,
duration_favours_fx|subject_id[28],-0.002,0.066,-0.141,0.148,0.001,0.001,8196.0,5071.0,8785.0,7500.0,1.0,
duration_favours_fx|subject_id[29],-0.004,0.069,-0.157,0.141,0.001,0.001,7714.0,5400.0,8483.0,6708.0,1.0,
duration_favours_fx|subject_id[30],-0.006,0.067,-0.159,0.128,0.001,0.001,7886.0,4977.0,8564.0,6891.0,1.0,
duration_favours_fx|subject_id[31],0.01,0.07,-0.128,0.171,0.001,0.001,6784.0,4326.0,7725.0,5940.0,1.0,
duration_favours_fx|subject_id[32],0.001,0.064,-0.132,0.145,0.001,0.001,7865.0,5428.0,8497.0,6500.0,1.0,
duration_favours_fx|subject_id[33],0.009,0.069,-0.146,0.162,0.001,0.001,7267.0,5454.0,8115.0,6000.0,1.0,
duration_favours_fx|subject_id[34],-0.005,0.068,-0.155,0.143,0.001,0.001,7443.0,5116.0,7811.0,7006.0,1.0,
duration_favours_fx|subject_id[35],-0.015,0.071,-0.181,0.121,0.001,0.001,5831.0,4950.0,6760.0,6032.0,1.0,
duration_favours_fx|subject_id[36],-0.004,0.066,-0.153,0.133,0.001,0.001,8139.0,5290.0,9256.0,6924.0,1.0,
duration_favours_fx|subject_id[37],0.003,0.069,-0.143,0.15,0.001,0.001,7541.0,4758.0,8281.0,6457.0,1.0,
duration_favours_fx|subject_id[38],-0.008,0.07,-0.165,0.137,0.001,0.001,7411.0,4567.0,8722.0,5764.0,1.0,
duration_favours_fx|subject_id[39],0.014,0.071,-0.126,0.181,0.001,0.001,5746.0,3866.0,7082.0,4468.0,1.0,
duration_favours_fx|subject_id[40],-0.001,0.067,-0.147,0.148,0.001,0.001,7932.0,5191.0,8432.0,6891.0,1.0,
duration_favours_fx|subject_id[41],-0.001,0.067,-0.149,0.148,0.001,0.001,8022.0,4613.0,8676.0,6445.0,1.0,
duration_favours_fx|subject_id[42],-0.005,0.071,-0.165,0.144,0.001,0.001,6851.0,4989.0,7487.0,6214.0,1.0,
duration_favours_fx|subject_id[43],-0.001,0.066,-0.143,0.145,0.001,0.001,6942.0,5133.0,7672.0,6285.0,1.0,
duration_favours_fx|subject_id[44],0.005,0.069,-0.138,0.163,0.001,0.001,8018.0,5353.0,9088.0,6247.0,1.0,
duration_favours_fx|subject_id[45],0.01,0.07,-0.132,0.17,0.001,0.001,7416.0,4309.0,8632.0,6078.0,1.0,
duration_favours_fx|subject_id[46],0.017,0.071,-0.12,0.178,0.001,0.001,8211.0,5806.0,8771.0,7235.0,1.0,
duration_favours_fx|subject_id[47],-0.005,0.069,-0.154,0.142,0.001,0.001,7573.0,4570.0,8006.0,6417.0,1.0,
duration_favours_fx|subject_id[48],0.003,0.068,-0.144,0.152,0.001,0.001,8085.0,4990.0,8901.0,6205.0,1.0,
duration_favours_fx|subject_id[49],-0.004,0.069,-0.17,0.134,0.001,0.001,8300.0,5493.0,8773.0,5824.0,1.0,
duration_favours_fx|subject_id[50],0.001,0.066,-0.14,0.142,0.001,0.001,8115.0,5999.0,8583.0,6707.0,1.0,
duration_favours_fx|subject_id[51],0.004,0.067,-0.138,0.154,0.001,0.001,8477.0,5257.0,9665.0,6673.0,1.0,
duration_favours_fx|subject_id[52],-0.011,0.068,-0.171,0.12,0.001,0.001,6259.0,4224.0,7041.0,5339.0,1.0,
duration_favours_fx|subject_id[53],0.008,0.069,-0.141,0.161,0.001,0.001,7427.0,3991.0,8703.0,6332.0,1.0,
duration_favours_fx|subject_id[54],-0.025,0.075,-0.189,0.117,0.001,0.001,5837.0,4111.0,6955.0,6190.0,1.0,
duration_favours_fx|subject_id[55],-0.002,0.067,-0.14,0.153,0.001,0.001,8018.0,5488.0,8463.0,6712.0,1.0,
duration_favours_fx|subject_id[56],-0.006,0.068,-0.152,0.146,0.001,0.001,8703.0,5618.0,9406.0,7149.0,1.0,
duration_favours_fx|subject_id[57],-0.004,0.068,-0.149,0.146,0.001,0.001,8430.0,5385.0,8837.0,6569.0,1.0,
duration_favours_fx|subject_id[58],-0.008,0.068,-0.16,0.139,0.001,0.001,7016.0,4665.0,8196.0,5828.0,1.0,
duration_favours_fx|subject_id[59],0.002,0.068,-0.138,0.154,0.001,0.001,7752.0,5363.0,8131.0,6665.0,1.0,
duration_favours_fx|subject_id[60],-0.0,0.068,-0.149,0.148,0.001,0.001,8571.0,4893.0,9486.0,6657.0,1.0,
duration_favours_fx|subject_id[61],-0.01,0.069,-0.169,0.125,0.001,0.001,7000.0,5367.0,7345.0,6339.0,1.0,
duration_favours_fx|subject_id[62],0.001,0.068,-0.15,0.145,0.001,0.001,8210.0,5168.0,9202.0,6004.0,1.0,
duration_favours_fx|subject_id[63],-0.008,0.068,-0.163,0.127,0.001,0.001,7680.0,5570.0,8730.0,6200.0,1.0,
duration_favours_fx|subject_id[64],0.007,0.069,-0.144,0.161,0.001,0.001,7310.0,5298.0,8060.0,6393.0,1.0,
duration_favours_fx|subject_id[65],0.005,0.068,-0.14,0.157,0.001,0.001,7284.0,5112.0,7561.0,6363.0,1.0,
duration_favours_fx|subject_id[66],0.001,0.067,-0.14,0.145,0.001,0.001,7694.0,4915.0,8291.0,5854.0,1.0,
duration_favours_fx|subject_id[67],-0.011,0.07,-0.174,0.129,0.001,0.001,8459.0,5112.0,9455.0,6769.0,1.0,
