,subject_id,presentation,higher_m,higher_p
25,28,alternatives,0.6333333333333333,0.6333333333333333
26,29,alternatives,0.6666666666666666,0.7
27,30,alternatives,0.7666666666666667,0.7666666666666667
28,31,alternatives,0.36666666666666664,0.36666666666666664
29,33,alternatives,0.5,0.5666666666666667
30,34,alternatives,0.4666666666666667,0.4
31,35,alternatives,0.8,0.8666666666666667
32,36,alternatives,0.6833333333333333,0.65
33,38,alternatives,0.5333333333333333,0.6666666666666666
34,39,alternatives,0.5,0.4666666666666667
35,40,alternatives,0.6333333333333333,0.5
36,41,alternatives,0.5333333333333333,0.4666666666666667
37,42,alternatives,0.7333333333333333,0.7
38,43,alternatives,0.7333333333333333,0.7333333333333333
39,44,alternatives,0.8666666666666667,0.9666666666666667
40,45,alternatives,0.13333333333333333,0.16666666666666666
41,46,alternatives,0.7,0.6333333333333333
42,47,alternatives,1.0,0.9666666666666667
43,48,alternatives,0.36666666666666664,0.43333333333333335
44,49,alternatives,0.9333333333333333,0.9
45,50,alternatives,0.2,0.3333333333333333
46,51,alternatives,0.3333333333333333,0.5
47,52,alternatives,0.9666666666666667,0.9666666666666667
48,53,alternatives,0.7,0.7333333333333333
49,54,alternatives,0.6,0.5333333333333333
50,55,alternatives,0.4666666666666667,0.43333333333333335
51,56,alternatives,0.8666666666666667,0.9666666666666667
52,57,alternatives,0.6333333333333333,0.6333333333333333
53,58,alternatives,0.5666666666666667,0.6666666666666666
54,59,alternatives,0.6666666666666666,0.4
55,60,alternatives,0.8,0.6666666666666666
56,61,alternatives,0.7,0.5666666666666667
57,62,alternatives,0.7666666666666667,0.7333333333333333
58,64,alternatives,0.6666666666666666,0.7
59,65,alternatives,0.7333333333333333,0.7666666666666667
60,66,alternatives,0.7,0.7333333333333333
61,67,alternatives,0.9,0.7333333333333333
62,68,alternatives,0.03333333333333333,0.03333333333333333
63,69,alternatives,0.6666666666666666,0.6
64,70,alternatives,0.4666666666666667,0.5666666666666667
65,71,alternatives,0.5,0.5
66,72,alternatives,0.8333333333333334,0.7666666666666667
67,73,alternatives,0.7666666666666667,0.6333333333333333
68,74,alternatives,0.6333333333333333,0.7
69,75,alternatives,0.8,0.7666666666666667
70,76,alternatives,0.6333333333333333,0.6333333333333333
71,77,alternatives,0.8666666666666667,0.8666666666666667
72,78,alternatives,0.43333333333333335,0.5333333333333333
73,79,alternatives,0.9,0.8
74,80,alternatives,0.4666666666666667,0.43333333333333335
75,81,alternatives,0.6666666666666666,0.5
76,83,alternatives,0.7333333333333333,0.7
77,84,alternatives,0.5333333333333333,0.5
78,85,alternatives,0.8333333333333334,1.0
79,86,alternatives,0.9333333333333333,1.0
80,87,alternatives,0.7666666666666667,0.7666666666666667
81,88,alternatives,0.6333333333333333,0.6666666666666666
82,89,alternatives,0.3333333333333333,0.36666666666666664
83,90,alternatives,0.7666666666666667,0.8333333333333334
84,92,alternatives,0.5,0.6666666666666666
85,93,alternatives,0.5666666666666667,0.5
86,94,alternatives,0.6,0.5
87,95,alternatives,0.5,0.4666666666666667
88,96,alternatives,0.6666666666666666,0.6333333333333333
89,97,alternatives,0.6666666666666666,0.6666666666666666
90,98,alternatives,0.5666666666666667,0.6
91,99,alternatives,0.6333333333333333,0.5333333333333333
92,100,alternatives,0.7666666666666667,0.5666666666666667
93,101,alternatives,0.9333333333333333,0.9333333333333333
94,102,alternatives,0.7,0.6
95,103,alternatives,0.8,0.7333333333333333
96,104,alternatives,0.7,0.6
97,105,alternatives,0.6,0.6
98,106,alternatives,0.2,0.36666666666666664
99,107,alternatives,0.5666666666666667,0.6333333333333333
100,109,alternatives,0.4,0.5333333333333333
101,110,alternatives,1.0,0.9666666666666667
102,111,alternatives,0.3333333333333333,0.4666666666666667
103,112,alternatives,0.7333333333333333,0.7666666666666667
104,113,alternatives,0.2,0.36666666666666664
105,114,alternatives,0.6666666666666666,0.7666666666666667
106,115,alternatives,0.6333333333333333,0.6333333333333333
107,116,alternatives,0.7,0.8
108,117,alternatives,0.8333333333333334,0.8666666666666667
109,120,alternatives,0.8,0.6666666666666666
110,122,alternatives,0.6333333333333333,0.43333333333333335
111,123,alternatives,0.4,0.5
112,124,alternatives,0.36666666666666664,0.4
113,125,alternatives,0.7666666666666667,0.8333333333333334
114,126,alternatives,0.7,0.7666666666666667
115,127,alternatives,0.6333333333333333,0.6
116,128,alternatives,0.6666666666666666,0.5333333333333333
117,129,alternatives,0.4666666666666667,0.5666666666666667
118,131,alternatives,0.4666666666666667,0.5666666666666667
119,132,alternatives,0.43333333333333335,0.5333333333333333
120,133,alternatives,0.7666666666666667,0.8333333333333334
121,134,alternatives,0.5666666666666667,0.5666666666666667
122,135,alternatives,0.23333333333333334,0.3
123,136,alternatives,0.7666666666666667,0.7
124,137,alternatives,0.03333333333333333,0.1
125,138,alternatives,0.0,0.0
126,139,alternatives,0.6,0.5
127,140,alternatives,0.9,0.8666666666666667
128,141,alternatives,0.8333333333333334,0.7666666666666667
129,142,alternatives,0.6333333333333333,0.5666666666666667
130,143,alternatives,0.6333333333333333,0.43333333333333335
131,144,alternatives,0.5333333333333333,0.4666666666666667
132,145,alternatives,0.6666666666666666,0.5666666666666667
133,146,alternatives,0.7666666666666667,0.7666666666666667
134,147,alternatives,0.6666666666666666,0.8
135,148,alternatives,0.7666666666666667,0.7
136,149,alternatives,0.9666666666666667,0.9333333333333333
137,150,alternatives,0.43333333333333335,0.5333333333333333
138,151,alternatives,0.7666666666666667,0.7333333333333333
139,153,alternatives,0.5,0.4666666666666667
140,154,alternatives,0.9666666666666667,0.9666666666666667
141,155,alternatives,0.8,0.7333333333333333
142,156,alternatives,0.6,0.5666666666666667
143,157,alternatives,1.0,1.0
144,159,alternatives,0.5333333333333333,0.6
145,160,alternatives,0.6,0.5666666666666667
146,161,alternatives,0.8666666666666667,0.8333333333333334
147,162,alternatives,0.5333333333333333,0.43333333333333335
148,163,alternatives,0.5,0.36666666666666664
149,164,alternatives,0.7,0.7333333333333333
150,166,alternatives,0.26666666666666666,0.3333333333333333
151,167,alternatives,0.3333333333333333,0.4
152,168,alternatives,0.9,0.8666666666666667
153,170,alternatives,0.7,0.6
154,171,alternatives,0.5,0.5
155,172,alternatives,0.16666666666666666,0.26666666666666666
156,174,alternatives,0.43333333333333335,0.43333333333333335
157,175,alternatives,0.5333333333333333,0.43333333333333335
