,subject_id,presentation,higher_m,higher_p
0,0,alternatives,0.5666666666666667,0.6
1,1,alternatives,0.43333333333333335,0.6666666666666666
2,2,alternatives,0.6666666666666666,0.8
3,3,alternatives,0.8,0.7666666666666667
4,4,alternatives,0.43333333333333335,0.4666666666666667
5,5,alternatives,0.1,0.23333333333333334
6,6,alternatives,0.8,0.7666666666666667
7,7,alternatives,0.6333333333333333,0.4666666666666667
8,8,alternatives,0.7666666666666667,0.7666666666666667
9,10,alternatives,0.6,0.6333333333333333
10,11,alternatives,0.5333333333333333,0.36666666666666664
11,12,alternatives,0.5666666666666667,0.7333333333333333
12,13,alternatives,0.3,0.4666666666666667
13,14,alternatives,0.6333333333333333,0.6
14,16,alternatives,0.6666666666666666,0.7666666666666667
15,17,alternatives,0.6,0.6333333333333333
16,18,alternatives,0.6,0.5
17,19,alternatives,0.5,0.4666666666666667
18,20,alternatives,0.8666666666666667,0.7666666666666667
19,21,alternatives,0.5,0.4666666666666667
20,22,alternatives,0.7666666666666667,0.8333333333333334
21,23,alternatives,0.8333333333333334,0.7333333333333333
22,25,alternatives,0.4666666666666667,0.5
23,26,alternatives,0.9666666666666667,0.9333333333333333
24,27,alternatives,0.5666666666666667,0.5
25,28,alternatives,0.6333333333333333,0.6333333333333333
26,29,alternatives,0.7666666666666667,0.6
27,30,alternatives,0.7666666666666667,0.7666666666666667
28,31,alternatives,0.3333333333333333,0.4
29,33,alternatives,0.5,0.5666666666666667
30,34,alternatives,0.36666666666666664,0.5
31,35,alternatives,0.8333333333333334,0.8333333333333334
32,36,alternatives,0.65,0.6833333333333333
33,38,alternatives,0.6666666666666666,0.5333333333333333
34,39,alternatives,0.36666666666666664,0.6
35,40,alternatives,0.5333333333333333,0.6
36,41,alternatives,0.6,0.4
37,42,alternatives,0.7666666666666667,0.6666666666666666
38,43,alternatives,0.7,0.7666666666666667
39,44,alternatives,0.8666666666666667,0.9666666666666667
40,45,alternatives,0.13333333333333333,0.16666666666666666
41,46,alternatives,0.5333333333333333,0.8
42,47,alternatives,1.0,0.9666666666666667
43,48,alternatives,0.36666666666666664,0.43333333333333335
44,49,alternatives,0.9333333333333333,0.9
45,50,alternatives,0.23333333333333334,0.3
46,51,alternatives,0.4,0.43333333333333335
47,52,alternatives,1.0,0.9333333333333333
48,53,alternatives,0.7333333333333333,0.7
49,54,alternatives,0.5666666666666667,0.5666666666666667
50,55,alternatives,0.4,0.5
51,56,alternatives,0.9,0.9333333333333333
52,57,alternatives,0.6333333333333333,0.6333333333333333
53,58,alternatives,0.6333333333333333,0.6
54,59,alternatives,0.5,0.5666666666666667
55,60,alternatives,0.7,0.7666666666666667
56,61,alternatives,0.5666666666666667,0.7
57,62,alternatives,0.7666666666666667,0.7333333333333333
58,64,alternatives,0.6333333333333333,0.7333333333333333
59,65,alternatives,0.7333333333333333,0.7666666666666667
60,66,alternatives,0.7666666666666667,0.6666666666666666
61,67,alternatives,0.8666666666666667,0.7666666666666667
62,68,alternatives,0.06666666666666667,0.0
63,69,alternatives,0.6,0.6666666666666666
64,70,alternatives,0.4,0.6333333333333333
65,71,alternatives,0.5333333333333333,0.4666666666666667
66,72,alternatives,0.7333333333333333,0.8666666666666667
67,73,alternatives,0.6666666666666666,0.7333333333333333
68,74,alternatives,0.6666666666666666,0.6666666666666666
69,75,alternatives,0.7333333333333333,0.8333333333333334
70,76,alternatives,0.6333333333333333,0.6333333333333333
71,77,alternatives,0.8333333333333334,0.9
72,78,alternatives,0.4666666666666667,0.5
73,79,alternatives,0.7666666666666667,0.9333333333333333
74,80,alternatives,0.4,0.5
75,81,alternatives,0.5666666666666667,0.6
76,83,alternatives,0.7,0.7333333333333333
77,84,alternatives,0.6,0.43333333333333335
78,85,alternatives,0.9666666666666667,0.8666666666666667
79,86,alternatives,1.0,0.9333333333333333
