,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,P>0
1|subject_id[142],-0.191,0.291,-0.774,0.364,0.007,0.005,1594.0,1594.0,1595.0,4630.0,1.0,
1|subject_id[143],4.157,0.736,2.758,5.592,0.011,0.008,4619.0,4361.0,4856.0,5076.0,1.0,
1|subject_id[144],-0.645,0.296,-1.264,-0.105,0.008,0.005,1498.0,1498.0,1494.0,3835.0,1.0,
1|subject_id[145],-0.236,0.259,-0.728,0.284,0.007,0.005,1310.0,1310.0,1311.0,2724.0,1.0,
1|subject_id[146],1.552,0.36,0.843,2.252,0.008,0.006,1968.0,1968.0,1979.0,4071.0,1.0,
1|subject_id[147],-1.206,0.294,-1.782,-0.641,0.008,0.006,1348.0,1348.0,1346.0,2377.0,1.0,
1|subject_id[148],-0.536,0.222,-0.955,-0.086,0.007,0.005,981.0,981.0,979.0,2383.0,1.0,
1|subject_id[149],0.157,0.292,-0.411,0.742,0.007,0.005,1716.0,1716.0,1714.0,3226.0,1.0,
1|subject_id[150],-1.886,0.309,-2.483,-1.267,0.008,0.006,1469.0,1469.0,1466.0,2083.0,1.0,
1|subject_id[151],-1.026,0.244,-1.483,-0.543,0.007,0.005,1378.0,1378.0,1377.0,3116.0,1.0,
1|subject_id[152],2.132,0.375,1.446,2.904,0.008,0.006,2222.0,2184.0,2249.0,4566.0,1.0,
1|subject_id[153],0.177,0.284,-0.374,0.738,0.007,0.005,1539.0,1539.0,1537.0,3600.0,1.0,
1|subject_id[154],-0.665,0.246,-1.178,-0.2,0.007,0.005,1290.0,1290.0,1287.0,3542.0,1.0,
1|subject_id[155],-2.561,0.357,-3.285,-1.898,0.008,0.006,2073.0,2073.0,2060.0,4127.0,1.0,
1|subject_id[156],-1.376,0.322,-2.021,-0.77,0.008,0.006,1702.0,1702.0,1680.0,3038.0,1.0,
1|subject_id[157],-0.946,0.304,-1.537,-0.332,0.007,0.005,1752.0,1752.0,1745.0,3656.0,1.0,
1|subject_id[158],0.164,0.235,-0.294,0.625,0.007,0.005,1032.0,1032.0,1035.0,2111.0,1.0,
1|subject_id[159],-0.496,0.277,-1.061,0.029,0.008,0.005,1315.0,1315.0,1315.0,3439.0,1.0,
1|subject_id[160],0.391,0.252,-0.104,0.889,0.007,0.005,1207.0,1158.0,1218.0,2258.0,1.0,
1|subject_id[161],-2.307,0.339,-2.969,-1.642,0.008,0.006,1704.0,1704.0,1698.0,3939.0,1.0,
1|subject_id[162],0.503,0.244,0.029,0.969,0.008,0.005,1042.0,1042.0,1047.0,3160.0,1.0,
1|subject_id[163],-0.542,0.246,-1.02,-0.053,0.007,0.005,1103.0,1103.0,1101.0,3020.0,1.0,
1|subject_id[164],3.362,0.565,2.286,4.445,0.009,0.007,3875.0,3694.0,4034.0,3927.0,1.0,
1|subject_id[165],-0.647,0.274,-1.156,-0.088,0.007,0.005,1387.0,1387.0,1385.0,4017.0,1.0,
1|subject_id[166],-0.619,0.227,-1.055,-0.165,0.007,0.005,1027.0,1027.0,1027.0,2282.0,1.0,
1|subject_id[167],-2.49,0.398,-3.249,-1.687,0.008,0.006,2370.0,2370.0,2369.0,4281.0,1.0,
1|subject_id[168],0.807,0.296,0.226,1.377,0.007,0.005,1615.0,1615.0,1611.0,3571.0,1.0,
1|subject_id[169],-0.834,0.276,-1.372,-0.3,0.008,0.006,1259.0,1259.0,1255.0,2254.0,1.0,
1|subject_id[170],-2.385,0.408,-3.178,-1.594,0.009,0.006,2045.0,2045.0,2034.0,3602.0,1.0,
1|subject_id[171],4.152,0.749,2.743,5.639,0.012,0.009,3834.0,3673.0,3988.0,4913.0,1.0,
1|subject_id[172],-0.512,0.26,-1.013,0.011,0.008,0.005,1179.0,1179.0,1180.0,2643.0,1.0,
1|subject_id[173],1.178,0.297,0.595,1.756,0.007,0.005,1672.0,1672.0,1673.0,3541.0,1.0,
1|subject_id[174],-0.881,0.282,-1.404,-0.317,0.007,0.005,1437.0,1437.0,1433.0,2694.0,1.0,
1|subject_id[175],2.851,0.454,1.968,3.725,0.008,0.006,3118.0,3118.0,3057.0,5064.0,1.0,
1|subject_id[176],0.146,0.271,-0.376,0.693,0.007,0.005,1501.0,1501.0,1503.0,3235.0,1.0,
1|subject_id[177],-1.051,0.256,-1.555,-0.557,0.007,0.005,1257.0,1257.0,1252.0,2222.0,1.0,
