,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
duration_favours_fx|subject_id[2],-0.029,0.166,-0.405,0.31,0.003,0.003,2267.0,1299.0,2428.0,1634.0,1.0
duration_favours_fx|subject_id[3],-0.002,0.158,-0.343,0.319,0.003,0.003,2671.0,1384.0,2941.0,1563.0,1.0
duration_favours_fx|subject_id[4],0.062,0.158,-0.206,0.463,0.004,0.003,1699.0,1612.0,1808.0,1434.0,1.0
duration_favours_fx|subject_id[5],0.052,0.16,-0.232,0.462,0.003,0.003,2162.0,1297.0,2474.0,1364.0,1.0
duration_favours_fx|subject_id[6],-0.049,0.151,-0.427,0.195,0.004,0.003,1830.0,1517.0,2006.0,1483.0,1.0
duration_favours_fx|subject_id[7],-0.016,0.151,-0.338,0.308,0.003,0.003,2718.0,1619.0,3095.0,1578.0,1.0
duration_favours_fx|subject_id[8],-0.021,0.155,-0.395,0.277,0.003,0.003,2498.0,1560.0,2627.0,1730.0,1.0
duration_favours_fx|subject_id[9],0.04,0.154,-0.27,0.363,0.003,0.003,1933.0,1846.0,1988.0,1775.0,1.0
duration_favours_fx|subject_id[10],0.004,0.149,-0.301,0.351,0.003,0.003,2044.0,1333.0,2178.0,1550.0,1.0
duration_favours_fx|subject_id[11],0.019,0.154,-0.318,0.346,0.003,0.003,2227.0,1409.0,2364.0,1659.0,1.0
duration_favours_fx|subject_id[12],-0.02,0.161,-0.357,0.331,0.003,0.003,2647.0,1414.0,2753.0,1801.0,1.0
duration_favours_fx|subject_id[13],-0.026,0.156,-0.375,0.29,0.003,0.003,2117.0,1627.0,2599.0,1733.0,1.0
duration_favours_fx|subject_id[14],0.055,0.155,-0.23,0.393,0.003,0.003,2066.0,1357.0,2417.0,1792.0,1.0
duration_favours_fx|subject_id[15],-0.038,0.153,-0.428,0.234,0.004,0.003,1887.0,1438.0,2046.0,1489.0,1.0
duration_favours_fx|subject_id[16],-0.019,0.144,-0.339,0.272,0.003,0.002,2390.0,1665.0,2492.0,1692.0,1.0
duration_favours_fx|subject_id[17],0.02,0.155,-0.278,0.388,0.003,0.003,2141.0,1779.0,2307.0,1850.0,1.0
duration_favours_fx|subject_id[18],-0.001,0.15,-0.346,0.3,0.003,0.003,2304.0,1454.0,2534.0,1422.0,1.0
duration_favours_fx|subject_id[19],0.01,0.16,-0.352,0.332,0.003,0.003,2253.0,1554.0,2532.0,1811.0,1.0
last_stage_favours_fx|subject_id_sigma,0.159,0.114,0.0,0.376,0.004,0.003,991.0,991.0,935.0,1025.0,1.0
last_stage_favours_fx|subject_id[0],-0.036,0.165,-0.447,0.267,0.004,0.003,1827.0,1343.0,1938.0,1583.0,1.0
last_stage_favours_fx|subject_id[1],-0.009,0.162,-0.366,0.344,0.003,0.003,2779.0,1146.0,2848.0,1423.0,1.0
last_stage_favours_fx|subject_id[2],-0.047,0.183,-0.473,0.28,0.004,0.004,2025.0,1348.0,2038.0,1624.0,1.0
last_stage_favours_fx|subject_id[3],-0.006,0.184,-0.406,0.389,0.004,0.004,2747.0,1084.0,3338.0,1467.0,1.0
last_stage_favours_fx|subject_id[4],-0.112,0.196,-0.532,0.197,0.005,0.004,1680.0,1468.0,1798.0,1519.0,1.0
last_stage_favours_fx|subject_id[5],-0.004,0.171,-0.39,0.35,0.004,0.004,2363.0,786.0,2406.0,1255.0,1.0
last_stage_favours_fx|subject_id[6],-0.012,0.154,-0.355,0.309,0.003,0.003,2330.0,1106.0,2493.0,1339.0,1.0
last_stage_favours_fx|subject_id[7],-0.006,0.153,-0.364,0.312,0.003,0.003,2283.0,1021.0,2611.0,1423.0,1.01
last_stage_favours_fx|subject_id[8],0.062,0.176,-0.225,0.509,0.004,0.003,2452.0,1403.0,2600.0,1524.0,1.0
last_stage_favours_fx|subject_id[9],0.001,0.165,-0.351,0.352,0.003,0.003,2228.0,1301.0,2314.0,1626.0,1.0
last_stage_favours_fx|subject_id[10],-0.035,0.181,-0.441,0.335,0.004,0.004,2221.0,1273.0,2475.0,1731.0,1.01
last_stage_favours_fx|subject_id[11],-0.021,0.158,-0.382,0.296,0.003,0.003,2490.0,1377.0,2746.0,1556.0,1.0
last_stage_favours_fx|subject_id[12],0.087,0.2,-0.268,0.513,0.005,0.004,1685.0,1362.0,1898.0,1413.0,1.0
last_stage_favours_fx|subject_id[13],-0.031,0.175,-0.439,0.304,0.004,0.004,2139.0,1125.0,2347.0,1568.0,1.0
last_stage_favours_fx|subject_id[14],0.007,0.171,-0.362,0.395,0.003,0.004,2389.0,1146.0,2422.0,1688.0,1.0
last_stage_favours_fx|subject_id[15],0.07,0.192,-0.321,0.481,0.004,0.004,2296.0,1448.0,2477.0,1657.0,1.0
last_stage_favours_fx|subject_id[16],0.03,0.154,-0.288,0.367,0.003,0.003,1995.0,1458.0,2100.0,1557.0,1.0
last_stage_favours_fx|subject_id[17],-0.06,0.175,-0.459,0.264,0.004,0.003,2278.0,1526.0,2276.0,1656.0,1.0
last_stage_favours_fx|subject_id[18],0.106,0.201,-0.227,0.544,0.005,0.004,1744.0,1381.0,1893.0,1583.0,1.0
last_stage_favours_fx|subject_id[19],0.006,0.181,-0.409,0.384,0.004,0.004,2453.0,1096.0,2578.0,1423.0,1.0
by_attribute_fx|subject_id_sigma,0.123,0.098,0.0,0.318,0.002,0.002,1607.0,1607.0,1176.0,1285.0,1.0
by_attribute_fx|subject_id[0],0.013,0.143,-0.274,0.345,0.003,0.003,2268.0,1380.0,2444.0,1431.0,1.0
by_attribute_fx|subject_id[1],0.014,0.143,-0.274,0.341,0.003,0.003,2185.0,1304.0,2248.0,1680.0,1.01
by_attribute_fx|subject_id[2],0.0,0.147,-0.341,0.315,0.003,0.003,2034.0,1319.0,2306.0,1359.0,1.0
by_attribute_fx|subject_id[3],-0.028,0.153,-0.403,0.246,0.003,0.003,2174.0,1496.0,2643.0,1562.0,1.0
by_attribute_fx|subject_id[4],-0.002,0.137,-0.294,0.307,0.003,0.003,2436.0,1319.0,2561.0,1670.0,1.0
by_attribute_fx|subject_id[5],0.024,0.146,-0.252,0.354,0.003,0.003,2258.0,1421.0,2459.0,1812.0,1.0
