,alpha,theta,v,b_last,noise,loss,lossfun,model,subject_id,wp,eta
280,,,5.2065,0.0402,0.9051,127.9956,BIC,TwoStageBetween,154,1.0,0.8058
281,0.0,1.0,4.9519,0.0682,0.9314,137.6814,BIC,TwoStageWithin,154,,
282,,,10.8695,-0.0132,1.2893,214.732,BIC,TwoStageBetween,155,0.7289,0.7405
283,0.2233,1.0,8.7234,0.0747,1.2505,198.8633,BIC,TwoStageWithin,155,,
284,,,9.3119,0.0098,0.8722,283.1823,BIC,TwoStageBetween,156,0.568,0.5832
285,0.7141,0.9736,8.4021,0.0319,0.8753,285.0848,BIC,TwoStageWithin,156,,
286,,,7.9089,0.0062,0.9092,-45.2834,BIC,TwoStageBetween,157,1.0,1.0
287,0.0,1.0,8.6635,0.0404,0.9191,-41.8974,BIC,TwoStageWithin,157,,
288,,,8.4518,0.0012,1.013,217.2819,BIC,TwoStageBetween,159,0.5026,1.0
289,0.893,0.7778,11.4181,0.0247,1.009,215.4633,BIC,TwoStageWithin,159,,
290,,,9.1531,0.0357,1.071,201.1451,BIC,TwoStageBetween,160,0.5615,0.8693
291,0.7802,1.0,10.4409,0.0404,1.0753,203.1518,BIC,TwoStageWithin,160,,
292,,,17.838,0.001,1.404,126.7679,BIC,TwoStageBetween,161,0.6628,1.0
293,0.4534,1.0,18.4154,0.0162,1.4063,127.9244,BIC,TwoStageWithin,161,,
294,,,19.3206,0.0004,1.3027,118.6609,BIC,TwoStageBetween,162,0.4663,0.2918
295,1.0569,1.0,16.0911,0.0142,1.3164,124.253,BIC,TwoStageWithin,162,,
296,,,9.403,-0.0366,1.1425,252.2914,BIC,TwoStageBetween,163,0.5129,0.0617
297,1.0586,1.0,4.7197,0.026,1.1668,264.674,BIC,TwoStageWithin,163,,
298,,,16.398,-0.0137,1.7388,182.1501,BIC,TwoStageBetween,164,0.5914,1.0
299,0.6642,1.0,20.1231,-0.0178,1.7294,176.711,BIC,TwoStageWithin,164,,
300,,,15.5009,0.0191,1.1973,82.8246,BIC,TwoStageBetween,166,0.3519,0.5431
301,1.9691,0.8664,21.2118,0.0233,1.2211,92.6016,BIC,TwoStageWithin,166,,
302,,,3.2497,-0.0151,0.746,450.8329,BIC,TwoStageBetween,167,0.4561,1.0
303,1.4169,0.6856,4.8947,-0.0004,0.7589,457.6685,BIC,TwoStageWithin,167,,
304,,,10.8049,-0.0121,1.4234,139.8563,BIC,TwoStageBetween,168,0.8596,0.9472
305,0.1349,1.0,10.8158,0.0251,1.4304,142.6312,BIC,TwoStageWithin,168,,
306,,,16.4395,-0.0145,1.3775,21.3805,BIC,TwoStageBetween,170,0.6082,1.0
307,0.5927,1.0,18.8199,0.0152,1.3472,12.2013,BIC,TwoStageWithin,170,,
308,,,7.4713,-0.0501,1.0891,241.5663,BIC,TwoStageBetween,171,0.4658,1.0
309,1.1947,1.0,8.5847,0.05,1.1044,249.6431,BIC,TwoStageWithin,171,,
310,,,12.7254,0.0102,1.1005,103.5972,BIC,TwoStageBetween,172,0.2416,0.2627
311,2.2223,1.0,16.3477,0.0169,1.1657,128.6064,BIC,TwoStageWithin,172,,
312,,,8.9216,-0.0287,1.0223,221.961,BIC,TwoStageBetween,174,0.4888,1.0
313,0.9652,1.0,10.3315,0.0225,1.0414,231.8769,BIC,TwoStageWithin,174,,
314,,,4.9793,0.0048,0.7161,413.1723,BIC,TwoStageBetween,175,0.4968,0.5384
315,1.0127,1.0,5.6968,0.015,0.6935,398.3362,BIC,TwoStageWithin,175,,
316,,,5.6249,0.0597,1.0116,251.1453,BIC,TwoStageBetween,176,0.6196,1.0
317,0.4723,0.8794,6.2668,0.0361,1.0202,254.9199,BIC,TwoStageWithin,176,,
318,,,9.1946,0.0269,1.0963,251.7966,BIC,TwoStageBetween,177,0.5292,1.0
319,0.848,0.8126,11.7907,0.015,1.1054,257.0406,BIC,TwoStageWithin,177,,
320,,,11.8176,-0.01,1.1052,210.3649,BIC,TwoStageBetween,178,0.6465,0.4422
321,0.5296,1.0,9.6108,0.0271,1.1039,209.7083,BIC,TwoStageWithin,178,,
322,,,10.501,0.0093,1.3221,86.0839,BIC,TwoStageBetween,179,0.2658,1.0
323,1.798,0.9198,21.0307,-0.0017,1.3738,107.8569,BIC,TwoStageWithin,179,,
324,,,9.7155,0.0003,1.166,148.868,BIC,TwoStageBetween,180,0.6426,1.0
325,0.4456,0.8836,9.4834,0.0341,1.1755,152.6175,BIC,TwoStageWithin,180,,
326,,,6.9928,0.0193,1.1083,237.4095,BIC,TwoStageBetween,182,0.5225,1.0
327,1.0016,0.6998,9.7843,0.0393,1.1123,239.3946,BIC,TwoStageWithin,182,,
328,,,3.6995,-0.0196,0.5306,140.0336,BIC,TwoStageBetween,184,1.0,1.0
329,0.0,1.0,3.8114,0.0244,0.5963,172.7522,BIC,TwoStageWithin,184,,
330,,,9.6961,0.0155,1.0701,201.2427,BIC,TwoStageBetween,185,0.5207,1.0
331,0.9048,0.7271,12.9721,0.0243,1.0803,206.2057,BIC,TwoStageWithin,185,,
332,,,7.3842,0.1072,1.4236,208.671,BIC,TwoStageBetween,186,0.4148,0.3888
333,2.0088,0.0763,13.9984,0.0539,1.4339,214.2103,BIC,TwoStageWithin,186,,
334,,,8.76,0.0197,1.0386,209.9138,BIC,TwoStageBetween,188,0.4117,1.0
335,1.3158,1.0,11.7332,0.0158,1.068,224.8839,BIC,TwoStageWithin,188,,
336,,,14.3293,-0.0133,1.7209,162.9888,BIC,TwoStageBetween,189,0.6669,1.0
337,0.4842,0.5668,22.0869,-0.0121,1.7098,156.2491,BIC,TwoStageWithin,189,,
338,,,16.0237,-0.0521,1.4562,41.2306,BIC,TwoStageBetween,190,0.5346,1.0
339,0.749,0.8996,16.717,0.0233,1.4999,56.336,BIC,TwoStageWithin,190,,
340,,,9.9071,0.0006,1.0556,163.5584,BIC,TwoStageBetween,191,0.44,0.9558
341,1.0189,0.9252,12.8583,0.0273,1.0663,168.0108,BIC,TwoStageWithin,191,,
342,,,8.0478,-0.0045,0.6815,41.0664,BIC,TwoStageBetween,192,1.0,0.3459
343,0.0,0.9342,5.8384,0.0324,0.7403,64.3457,BIC,TwoStageWithin,192,,
344,,,13.1645,0.0259,1.6102,309.3208,BIC,TwoStageBetween,194,0.5097,1.0
345,1.0159,1.0,14.5479,0.0426,1.6151,312.6542,BIC,TwoStageWithin,194,,
346,,,10.9165,-0.0095,1.1138,98.8646,BIC,TwoStageBetween,195,0.7147,0.9521
347,0.3981,1.0,12.6471,-0.0025,1.0886,89.247,BIC,TwoStageWithin,195,,
348,,,12.2006,0.0206,1.4544,296.7795,BIC,TwoStageBetween,196,0.5063,1.0
349,0.9914,0.9208,17.2703,0.0279,1.4433,289.9788,BIC,TwoStageWithin,196,,
350,,,12.0485,0.0207,1.0653,136.0049,BIC,TwoStageBetween,197,1.0,0.0
351,0.025,0.8694,6.8245,0.0195,1.1019,152.9267,BIC,TwoStageWithin,197,,
352,,,28.9306,0.007,1.5079,154.2298,BIC,TwoStageBetween,198,0.5891,0.0874
353,0.6901,0.6024,18.2274,0.0219,1.5415,167.6465,BIC,TwoStageWithin,198,,
354,,,10.8896,-0.0086,1.4161,193.4595,BIC,TwoStageBetween,199,0.409,1.0
355,1.4397,0.3785,19.1883,0.0124,1.4419,208.3672,BIC,TwoStageWithin,199,,
