alpha,alpha_rec,b_last,b_last_rec,beta,beta_rec,bic,eta,eta_rec,model,nll,nll_rec,subject,theta,theta_rec,w_between_altwise,w_between_altwise_rec,w_between_attwise,w_between_attwise_rec,wp,wp_rec
1.5606343375982188,1.949778191540243,0.006122994134587,0.0132608693722893,30.158136899258675,44.54957946409379,77.62992969480162,,,twostagewithin,30.317974363302092,24.52953391784632,0-alternatives,0.9412911262235488,0.8621044258427675,,,,,,
1.6960188526592503,1.4183604054436345,-0.0772843990240814,0.0326188843419601,21.81037631546072,18.268486772507657,89.28685717790216,,,twostagewithin,36.146438104852365,38.67456572807823,0-attributes,0.7758730442325776,0.676269838015119,,,,,,
0.4022992992708527,0.4794350565004577,-0.0098646724717757,0.0215886699198034,27.048982644310072,35.88847756356773,57.29735641929693,,,twostagewithin,20.15168772554975,17.546407132349437,1-alternatives,1.0,0.875111861548065,,,,,,
0.3750623883312272,0.5836230682965682,-0.0053178172991369,0.0291302693467898,24.23992338634132,31.17667188840804,78.85710410371934,,,twostagewithin,30.931561567760948,31.12508548919716,1-attributes,0.1443560479058888,0.1543365475179675,,,,,,
2.9325835575397505,2.9072298910330834,0.0002002385860097,-0.0033760898168515,87.97830413796201,96.37588176901896,59.84322940424862,,,twostagewithin,21.424624218025592,19.89446658190332,10-alternatives,0.7050910416195391,0.8382195086417952,,,,,,
2.38129305439326,2.1399333027157788,-0.0224525149135943,-0.0143958338165738,64.01531147363318,93.68863144750291,69.20392294295158,,,twostagewithin,26.104970987377072,16.130460649934214,10-attributes,0.3567394696454266,0.771858671934321,,,,,,
1.561884089754588,2.1399464277279225,0.0045737907627433,-0.0029250640577493,25.5800932238014,43.32896400907922,90.0740476244762,,,twostagewithin,36.568810803043576,33.33091266260617,11-alternatives,0.2791179307599443,0.0031178117402291,,,,,,
1.1022607687939434,1.3939069843361516,0.0454073702553851,-0.0644186175314265,27.22970756729728,20.16926924477807,89.62010835290627,,,twostagewithin,36.31306369235442,36.4401271612979,11-attributes,0.2940816434425703,0.8226171398363591,,,,,,
0.8534715116977895,0.8145523183335104,0.0236256253791405,0.0423022727514824,45.267726460631415,44.77521477048891,55.75206871935184,,,twostagewithin,19.4078213504814,18.311890813916623,12-alternatives,0.9925771322234088,0.904379747647802,,,,,,
0.8660541904250905,0.7387344416700283,0.0695299889485418,-0.0036845193768444,44.90575924357423,51.78030721270712,62.69121637939982,,,twostagewithin,22.84861770560119,20.1618305313162,12-attributes,0.7728827903095357,0.5622860244016321,,,,,,
0.6174049922096295,0.6108768822858069,-0.0119914521097812,-0.0213100554360797,27.38473812158164,32.76239247673231,67.75651318498888,,,twostagewithin,25.38126610839572,21.89004438650856,13-alternatives,0.9847354458391108,1.0,,,,,,
0.600775132591692,0.548045645313991,-0.0629082036674067,-0.0353864982372748,42.302087542004806,32.77886564629377,71.66118929318759,,,twostagewithin,27.333604162495075,26.172895304256286,13-attributes,0.0766736138310946,0.3887928502605226,,,,,,
1.060016873184194,0.9758775485588148,0.0023626072013781,0.0049764541020789,71.38371011059007,82.8285056650348,54.714210299968684,,,twostagewithin,18.888892140789824,15.448062248361149,14-alternatives,0.8260374391364409,0.8922873094998831,,,,,,
1.1539747104391704,1.4119778407653891,0.020643962599307,-0.0379438404210594,30.17943054158692,49.24218616985201,81.90670872897738,,,twostagewithin,32.45636388038997,31.287036538046078,14-attributes,0.6062870604665661,0.0897726320198543,,,,,,
0.6127664385334703,0.6131052790525204,-0.0035933922459455,-0.0165742166139896,44.992370279576924,35.032327216792844,54.058762514909304,,,twostagewithin,18.561168248260135,21.392385827898604,15-alternatives,0.7690734070188276,0.8802180869135645,,,,,,
0.5276174990200206,0.6106757051526933,-0.0024052087077135,-0.0111118533919404,23.179712411347975,20.58578968398171,80.34210294273286,,,twostagewithin,31.674060987267712,32.67459266523051,15-attributes,0.4136022653210027,0.6390885105513828,,,,,,
0.9665863645278968,1.378180189172996,0.0211245900387232,0.0283323770117561,9.31091174865248,12.541023980366392,97.07961959567564,,,twostagewithin,40.160500313784965,37.682756540574815,16-alternatives,1.0,1.0,,,,,,
0.5965818498608999,0.3241777945899622,0.0272601438793011,-0.0185716092480732,4.346403103857447,4.473353310274165,108.21854792299952,,,twostagewithin,45.69988872271783,43.46785413274169,16-attributes,0.092941502823748,0.6623957981754427,,,,,,
1.2095513758902638,1.159071634033723,5.119843252555343e-05,-0.0114388648434053,75.40267010867656,63.047486117384295,54.93519532620792,,,twostagewithin,18.97060717900524,20.919550705515597,17-alternatives,0.8597789149460064,0.7974857977436153,,,,,,
1.0745565091052434,1.049473657227428,0.0109638217179603,0.0558287522828489,77.53870402104612,67.94655795214902,57.21061563054376,,,twostagewithin,20.10831733117316,20.89572375808556,17-attributes,0.5998206888700592,0.6755225600688526,,,,,,
0.5556562924878191,0.3361204524768122,0.0379138311808193,0.0802180554104901,25.92595020922469,17.415008644139107,63.11286924712829,,,twostagewithin,23.059444139465423,22.953398091086168,18-alternatives,1.0,1.0,,,,,,
0.5441782682556761,0.4388435146235775,-0.0160615853667981,0.0093165815950158,16.480039875576914,13.666047136665409,84.37334926869794,,,twostagewithin,33.68968415025025,34.2848597426307,18-attributes,0.7966912739163847,0.840685397935458,,,,,,
0.3629352934701258,0.3213997749802731,0.0235144020828338,0.0318542711731844,100.0,100.0,24.095000372330286,,,twostagewithin,3.550509702066424,1.2924739523446738,19-alternatives,1.0,1.0,,,,,,
