,alpha,theta,v,b_last,noise,loss,lossfun,model,subject_id,wp,eta
64,,,8.6553,,1.7343,68.5874,BIC,TwoStageBetween,113-alternatives,0.2331,
65,2.3108,1.0,16.1457,0.0036,1.7453,80.0448,BIC,TwoStageWithin,113-alternatives,,
66,,,12.7305,0.0767,2.0277,42.0597,BIC,TwoStageBetween,113-attributes,0.0018,0.2948
67,2.3145,,23.578,,2.0746,45.5066,BIC,TwoStageWithin,113-attributes,,
68,,,7.9444,,0.9816,109.7265,BIC,TwoStageBetween,114-alternatives,0.6089,
69,0.6232,0.8014,11.0675,0.0139,0.9341,107.7051,BIC,TwoStageWithin,114-alternatives,,
70,,,8.233,-0.0079,0.9874,113.7134,BIC,TwoStageBetween,114-attributes,0.5915,0.9868
71,0.634,,9.0911,,0.9803,103.664,BIC,TwoStageWithin,114-attributes,,
72,,,10.4592,,0.9611,81.3715,BIC,TwoStageBetween,115-alternatives,0.5319,
73,0.7938,1.0,12.107,0.0192,0.9471,87.3421,BIC,TwoStageWithin,115-alternatives,,
74,,,10.1165,-0.0079,0.9566,94.0908,BIC,TwoStageBetween,115-attributes,0.5146,0.9603
75,0.8402,,13.3675,,0.889,72.8713,BIC,TwoStageWithin,115-attributes,,
76,,,30.0,,2.4109,3.2375,BIC,TwoStageBetween,116-alternatives,0.6237,
77,0.4881,1.0,30.0,0.0013,2.3893,6.7414,BIC,TwoStageWithin,116-alternatives,,
78,,,29.628,0.0071,2.2513,101.1239,BIC,TwoStageBetween,116-attributes,0.6016,1.0
79,0.6032,,30.0,,2.25,92.3206,BIC,TwoStageWithin,116-attributes,,
80,,,7.302,,0.9873,73.4551,BIC,TwoStageBetween,117-alternatives,0.7534,
81,0.3963,0.9479,9.3126,-0.0159,0.9935,83.1045,BIC,TwoStageWithin,117-alternatives,,
82,,,8.9292,-0.0085,0.9379,74.0305,BIC,TwoStageBetween,117-attributes,0.7075,1.0
83,0.4438,,10.3857,,0.9464,67.0411,BIC,TwoStageWithin,117-attributes,,
84,,,6.1421,,0.9138,143.7171,BIC,TwoStageBetween,12-alternatives,0.6019,
85,0.6131,0.8313,6.9509,0.0381,0.9096,151.1016,BIC,TwoStageWithin,12-alternatives,,
86,,,7.2714,0.0113,1.0052,114.4908,BIC,TwoStageBetween,12-attributes,0.6509,1.0
87,0.5416,,8.4851,,1.014,107.8397,BIC,TwoStageWithin,12-attributes,,
