,alpha,theta,v,b_last,noise,loss,lossfun,model,subject_id,wp,eta
282,,,14.5237,-0.0098,1.3871,16.2229,BIC,TwoStageBetween,170-attributes,0.6587,1.0
283,0.5084,,17.4518,,1.3397,0.9233,BIC,TwoStageWithin,170-attributes,,
284,,,7.6436,,1.1497,120.381,BIC,TwoStageBetween,171-alternatives,0.4458,
285,1.2723,1.0,8.9018,0.0476,1.1519,129.431,BIC,TwoStageWithin,171-alternatives,,
286,,,7.429,-0.0514,1.0234,127.8994,BIC,TwoStageBetween,171-attributes,0.4858,1.0
287,1.1153,,8.3801,,1.0561,128.0785,BIC,TwoStageWithin,171-attributes,,
288,,,9.6471,,1.1186,57.0968,BIC,TwoStageBetween,172-alternatives,0.3368,
289,2.1058,1.0,15.0171,0.0181,1.1627,73.8302,BIC,TwoStageWithin,172-alternatives,,
290,,,11.9807,0.0114,1.0531,50.0407,BIC,TwoStageBetween,172-attributes,0.1347,0.1707
291,2.3045,,18.0235,,1.1645,63.2226,BIC,TwoStageWithin,172-attributes,,
292,,,8.8852,,1.0413,112.6307,BIC,TwoStageBetween,174-alternatives,0.4714,
293,1.1074,1.0,10.0685,0.0249,1.0672,127.9549,BIC,TwoStageWithin,174-alternatives,,
294,,,9.0029,-0.0286,0.9995,117.591,BIC,TwoStageBetween,174-attributes,0.5088,1.0
295,0.8343,,10.7453,,1.0024,109.8309,BIC,TwoStageWithin,174-attributes,,
296,,,3.9768,,0.7137,202.2975,BIC,TwoStageBetween,175-alternatives,0.452,
297,1.1383,1.0,6.7724,0.0117,0.6697,196.9176,BIC,TwoStageWithin,175-alternatives,,
298,,,4.939,0.0053,0.7077,216.4577,BIC,TwoStageBetween,175-attributes,0.5441,0.5122
299,0.8638,,4.8404,,0.7023,206.212,BIC,TwoStageWithin,175-attributes,,
300,,,6.3035,,0.9976,127.4025,BIC,TwoStageBetween,176-alternatives,0.6081,
301,0.4816,0.8825,6.6761,0.0326,0.9813,132.3467,BIC,TwoStageWithin,176-alternatives,,
302,,,4.8913,0.0738,1.0226,132.2497,BIC,TwoStageBetween,176-attributes,0.6351,1.0
303,0.4601,,5.4884,,1.0552,131.0735,BIC,TwoStageWithin,176-attributes,,
304,,,8.6668,,1.058,109.4833,BIC,TwoStageBetween,177-alternatives,0.5244,
305,0.8474,0.8056,10.8041,0.0188,1.062,118.9909,BIC,TwoStageWithin,177-alternatives,,
306,,,9.8061,0.0239,1.1251,150.6512,BIC,TwoStageBetween,177-attributes,0.5329,1.0
307,0.8578,,11.623,,1.1373,146.0447,BIC,TwoStageWithin,177-attributes,,
308,,,11.074,,1.0591,92.1299,BIC,TwoStageBetween,178-alternatives,0.6199,
309,0.5404,1.0,10.7171,0.0234,1.0748,104.4617,BIC,TwoStageWithin,178-alternatives,,
310,,,10.2804,-0.0064,1.1284,122.6935,BIC,TwoStageBetween,178-attributes,0.6865,0.3199
311,0.5144,,8.7706,,1.126,113.5061,BIC,TwoStageWithin,178-attributes,,
312,,,9.4313,,1.329,42.2251,BIC,TwoStageBetween,179-alternatives,0.1996,
313,2.0348,0.9439,20.364,0.0002,1.3936,64.2285,BIC,TwoStageWithin,179-alternatives,,
314,,,11.8305,0.0033,1.3059,51.1764,BIC,TwoStageBetween,179-attributes,0.3213,0.9987
315,1.5917,,20.5455,,1.3468,51.2533,BIC,TwoStageWithin,179-attributes,,
316,,,14.6954,,1.1701,53.5532,BIC,TwoStageBetween,18-alternatives,0.5373,
317,0.8391,0.875,19.3854,-0.0011,1.171,62.2349,BIC,TwoStageWithin,18-alternatives,,
318,,,12.7357,0.01,1.2177,64.786,BIC,TwoStageBetween,18-attributes,0.5261,0.9392
319,0.8168,,15.9453,,1.192,51.4357,BIC,TwoStageWithin,18-attributes,,
320,,,9.7881,,1.104,79.5829,BIC,TwoStageBetween,180-alternatives,0.643,
321,0.4362,0.883,8.9099,0.0377,1.1151,90.3103,BIC,TwoStageWithin,180-alternatives,,
322,,,9.6439,0.0004,1.229,77.2536,BIC,TwoStageBetween,180-attributes,0.6419,1.0
323,0.4524,,9.4339,,1.2365,70.1731,BIC,TwoStageWithin,180-attributes,,
324,,,8.4105,,1.1202,111.223,BIC,TwoStageBetween,182-alternatives,0.5131,
325,1.0375,0.7218,10.3044,0.0374,1.1301,122.1504,BIC,TwoStageWithin,182-alternatives,,
326,,,5.8714,0.0293,1.0896,133.5611,BIC,TwoStageBetween,182-attributes,0.5337,1.0
327,0.9568,,7.8243,,1.0938,126.1188,BIC,TwoStageWithin,182-attributes,,
328,,,3.7182,,0.497,63.3422,BIC,TwoStageBetween,184-alternatives,1.0,
329,0.0,1.0,3.8726,0.0236,0.555,87.2922,BIC,TwoStageWithin,184-alternatives,,
330,,,3.6802,-0.0195,0.5622,84.8983,BIC,TwoStageBetween,184-attributes,1.0,1.0
331,0.0,,3.7514,,0.6344,93.3943,BIC,TwoStageWithin,184-attributes,,
332,,,9.8116,,1.0568,99.5644,BIC,TwoStageBetween,185-alternatives,0.4923,
333,1.0126,0.716,12.2337,0.0276,1.0811,113.9849,BIC,TwoStageWithin,185-alternatives,,
334,,,9.5679,0.0137,1.0736,108.5895,BIC,TwoStageBetween,185-attributes,0.553,1.0
335,0.8168,,11.828,,1.0706,99.38,BIC,TwoStageWithin,185-attributes,,
336,,,7.6334,,1.4862,107.0435,BIC,TwoStageBetween,186-alternatives,0.4533,
337,1.5267,0.3067,16.0596,0.0438,1.4581,107.7098,BIC,TwoStageWithin,186-alternatives,,
338,,,4.9058,0.1781,1.3378,106.0128,BIC,TwoStageBetween,186-attributes,0.3078,0.1503
339,5.0,,7.8373,,1.3993,113.06,BIC,TwoStageWithin,186-attributes,,
340,,,8.9618,,1.0272,87.6788,BIC,TwoStageBetween,188-alternatives,0.3885,
341,1.3912,1.0,11.7073,0.0168,1.0761,107.352,BIC,TwoStageWithin,188-alternatives,,
342,,,8.4835,0.0212,1.0424,130.0297,BIC,TwoStageBetween,188-attributes,0.4326,1.0
343,1.2598,,11.6482,,1.0602,126.4867,BIC,TwoStageWithin,188-attributes,,
344,,,12.5355,,1.7219,81.5736,BIC,TwoStageBetween,189-alternatives,0.6447,
345,0.566,0.5736,21.2349,-0.0088,1.7039,84.656,BIC,TwoStageWithin,189-alternatives,,
346,,,17.1541,-0.0176,1.7097,87.5019,BIC,TwoStageBetween,189-attributes,0.6808,1.0
347,0.4322,,18.9112,,1.7073,78.3027,BIC,TwoStageWithin,189-attributes,,
348,,,17.5849,,1.7828,50.1545,BIC,TwoStageBetween,19-alternatives,0.433,
349,1.2522,1.0,28.377,-0.0129,1.7725,55.765,BIC,TwoStageWithin,19-alternatives,,
350,,,28.2423,-0.0157,2.1554,103.2881,BIC,TwoStageBetween,19-attributes,0.504,0.7983
351,0.8477,,30.0,,2.1536,94.3613,BIC,TwoStageWithin,19-attributes,,
352,,,17.4038,,1.3909,14.2217,BIC,TwoStageBetween,190-alternatives,0.5574,
353,0.6677,0.9271,19.0048,0.0176,1.4083,25.5218,BIC,TwoStageWithin,190-alternatives,,
354,,,14.7429,-0.0546,1.5045,33.8852,BIC,TwoStageBetween,190-attributes,0.5081,1.0
355,0.8894,,13.924,,1.5618,35.8248,BIC,TwoStageWithin,190-attributes,,
356,,,9.4538,,1.048,89.5172,BIC,TwoStageBetween,191-alternatives,0.443,
357,0.9854,0.9179,12.0915,0.0298,1.0514,98.7641,BIC,TwoStageWithin,191-alternatives,,
358,,,10.1271,-0.0003,1.0632,83.1763,BIC,TwoStageBetween,191-attributes,0.4367,0.9636
359,1.0606,,13.3021,,1.0792,77.8415,BIC,TwoStageWithin,191-attributes,,
360,,,5.2526,,0.6821,25.66,BIC,TwoStageBetween,192-alternatives,1.0,
361,0.0,0.9341,5.6654,0.0337,0.735,44.6686,BIC,TwoStageWithin,192-alternatives,,
362,,,8.3031,-0.0055,0.6787,24.2369,BIC,TwoStageBetween,192-attributes,1.0,0.3476
363,0.0,,5.8216,,0.7438,28.6152,BIC,TwoStageWithin,192-attributes,,
364,,,11.9439,,1.5912,118.7926,BIC,TwoStageBetween,194-alternatives,0.4749,
365,1.2069,1.0,13.8095,0.048,1.584,124.7234,BIC,TwoStageWithin,194-alternatives,,
366,,,14.7664,0.0212,1.624,197.3516,BIC,TwoStageBetween,194-attributes,0.5435,1.0
367,0.8423,,15.4162,,1.6404,194.2598,BIC,TwoStageWithin,194-attributes,,
368,,,12.5527,,1.1119,43.1333,BIC,TwoStageBetween,195-alternatives,0.6647,
369,0.51,1.0,15.6063,-0.0055,1.0823,46.0892,BIC,TwoStageWithin,195-alternatives,,
370,,,9.2349,-0.0055,1.0959,61.1546,BIC,TwoStageBetween,195-attributes,0.7776,0.9444
371,0.293,,10.6141,,1.0677,47.2533,BIC,TwoStageWithin,195-attributes,,
372,,,16.6131,,1.5726,180.0933,BIC,TwoStageBetween,196-alternatives,0.5346,
373,0.8806,0.8759,20.6236,0.0228,1.5686,187.3989,BIC,TwoStageWithin,196-alternatives,,
374,,,9.6151,0.0357,1.3136,113.2499,BIC,TwoStageBetween,196-attributes,0.4682,1.0
375,1.1161,,15.3606,,1.3029,101.5259,BIC,TwoStageWithin,196-attributes,,
376,,,6.1944,,0.9429,51.8188,BIC,TwoStageBetween,197-alternatives,0.9968,
377,0.0122,0.8717,7.3658,0.0164,0.9397,59.6082,BIC,TwoStageWithin,197-alternatives,,
378,,,11.7915,0.0212,1.1619,88.2064,BIC,TwoStageBetween,197-attributes,1.0,0.0
379,0.0374,,5.96,,1.2147,92.9617,BIC,TwoStageWithin,197-attributes,,
380,,,20.1831,,1.4791,114.9879,BIC,TwoStageBetween,198-alternatives,0.5757,
381,0.6903,0.7297,24.7506,0.0136,1.4823,124.0711,BIC,TwoStageWithin,198-alternatives,,
382,,,24.269,0.0098,1.5152,44.4995,BIC,TwoStageBetween,198-attributes,0.6129,0.0437
383,0.6703,,11.1683,,1.5624,45.6955,BIC,TwoStageWithin,198-attributes,,
384,,,11.0216,,1.3889,97.5322,BIC,TwoStageBetween,199-alternatives,0.4243,
385,1.3816,0.3369,16.6347,0.0145,1.4183,114.7751,BIC,TwoStageWithin,199-alternatives,,
386,,,10.6911,-0.0074,1.4435,104.6182,BIC,TwoStageBetween,199-attributes,0.3922,1.0
387,1.516,,15.6149,,1.4621,101.3448,BIC,TwoStageWithin,199-attributes,,
388,,,13.2755,,1.5772,185.5574,BIC,TwoStageBetween,2-alternatives,0.6565,
389,0.44,0.8393,14.5261,0.0383,1.5717,192.3234,BIC,TwoStageWithin,2-alternatives,,
390,,,24.4069,-0.0029,1.7836,161.7626,BIC,TwoStageBetween,2-attributes,0.6552,0.1173
391,0.4556,,14.5518,,1.7888,154.8356,BIC,TwoStageWithin,2-attributes,,
392,,,13.9717,,1.4657,50.047,BIC,TwoStageBetween,20-alternatives,0.6609,
393,0.4939,1.0,17.3391,-0.0186,1.4406,52.8713,BIC,TwoStageWithin,20-alternatives,,
394,,,13.1348,-0.0303,1.2603,79.4606,BIC,TwoStageBetween,20-attributes,0.6906,1.0
395,0.4576,,14.8802,,1.2582,70.4045,BIC,TwoStageWithin,20-attributes,,
396,,,14.2647,,1.2625,41.0554,BIC,TwoStageBetween,21-alternatives,0.4957,
397,0.8799,1.0,18.4733,0.0017,1.2513,47.5828,BIC,TwoStageWithin,21-alternatives,,
398,,,13.6021,-0.0181,1.4444,41.4343,BIC,TwoStageBetween,21-attributes,0.5819,0.9926
399,0.6818,,17.1439,,1.3971,24.9881,BIC,TwoStageWithin,21-attributes,,
400,,,4.1844,,0.8307,154.429,BIC,TwoStageBetween,22-alternatives,0.783,
401,0.2183,0.6691,5.0126,0.0384,0.8204,160.133,BIC,TwoStageWithin,22-alternatives,,
402,,,5.7653,-0.0076,0.8527,169.8157,BIC,TwoStageBetween,22-attributes,0.7634,0.2333
403,0.3062,,4.1123,,0.8498,160.4449,BIC,TwoStageWithin,22-attributes,,
404,,,12.7496,,1.197,50.3438,BIC,TwoStageBetween,23-alternatives,0.6612,
405,0.5101,1.0,14.8878,-0.0026,1.1871,57.0252,BIC,TwoStageWithin,23-alternatives,,
406,,,11.0148,0.0135,1.1364,49.9863,BIC,TwoStageBetween,23-attributes,0.6813,1.0
407,0.4465,,12.8532,,1.1081,36.9898,BIC,TwoStageWithin,23-attributes,,
408,,,11.0144,,1.0352,76.993,BIC,TwoStageBetween,25-alternatives,0.4737,
409,1.0734,0.7703,15.3534,0.0084,1.0503,88.3172,BIC,TwoStageWithin,25-alternatives,,
410,,,10.1794,0.0311,1.0182,81.9474,BIC,TwoStageBetween,25-attributes,0.4693,0.8824
411,1.0263,,13.2684,,1.0379,77.115,BIC,TwoStageWithin,25-attributes,,
412,,,9.5601,,1.0374,-5.7443,BIC,TwoStageBetween,26-alternatives,0.894,
413,0.1431,1.0,10.8503,0.0094,1.054,5.1285,BIC,TwoStageWithin,26-alternatives,,
414,,,9.7023,-0.0105,0.9388,-33.3025,BIC,TwoStageBetween,26-attributes,0.9658,1.0
415,0.0754,,10.9645,,0.9966,-33.3107,BIC,TwoStageWithin,26-attributes,,
416,,,6.6067,,1.2805,135.0172,BIC,TwoStageBetween,27-alternatives,0.4544,
417,1.0365,0.6186,15.3463,-0.014,1.2516,134.761,BIC,TwoStageWithin,27-alternatives,,
418,,,10.1067,0.0032,1.1741,90.4887,BIC,TwoStageBetween,27-attributes,0.4805,0.9606
419,0.9353,,13.4519,,1.1565,77.9555,BIC,TwoStageWithin,27-attributes,,
420,,,11.8155,,1.0482,66.928,BIC,TwoStageBetween,28-alternatives,0.5431,
421,0.795,0.8992,14.419,0.0065,1.0549,76.6231,BIC,TwoStageWithin,28-alternatives,,
422,,,10.6587,0.0047,1.11,83.5969,BIC,TwoStageBetween,28-attributes,0.5636,1.0
423,0.762,,13.2209,,1.0967,72.4276,BIC,TwoStageWithin,28-attributes,,
424,,,6.0605,,0.9774,139.3683,BIC,TwoStageBetween,29-alternatives,0.6283,
425,0.5267,0.6282,8.1389,-0.0278,0.978,148.0342,BIC,TwoStageWithin,29-alternatives,,
426,,,6.3722,-0.003,1.0436,124.7136,BIC,TwoStageBetween,29-attributes,0.6289,1.0
427,0.5887,,7.4108,,1.0447,116.4627,BIC,TwoStageWithin,29-attributes,,
428,,,11.2868,,1.2303,60.7982,BIC,TwoStageBetween,3-alternatives,0.6551,
429,0.4914,1.0,11.8549,0.0022,1.2457,72.6876,BIC,TwoStageWithin,3-alternatives,,
430,,,16.3952,-0.0007,1.2316,55.4782,BIC,TwoStageBetween,3-attributes,0.6727,0.5273
431,0.4245,,13.7141,,1.2188,44.4525,BIC,TwoStageWithin,3-attributes,,
432,,,1.467,,0.4085,338.8972,BIC,TwoStageBetween,30-alternatives,0.6193,
433,0.6232,1.0,1.7689,0.0036,0.4014,344.4408,BIC,TwoStageWithin,30-alternatives,,
434,,,1.254,-0.0097,0.3574,321.6165,BIC,TwoStageBetween,30-attributes,0.7597,1.0
435,0.368,,1.535,,0.3504,310.3273,BIC,TwoStageWithin,30-attributes,,
436,,,5.1496,,1.1,125.8428,BIC,TwoStageBetween,31-alternatives,0.367,
437,2.9752,1.0,7.6085,0.0386,1.1113,137.022,BIC,TwoStageWithin,31-alternatives,,
438,,,4.4317,0.0424,1.1466,139.4716,BIC,TwoStageBetween,31-attributes,0.4511,1.0
439,1.2262,,5.5254,,1.1678,136.6021,BIC,TwoStageWithin,31-attributes,,
440,,,8.6182,,1.0159,137.1603,BIC,TwoStageBetween,33-alternatives,0.5261,
441,0.7898,0.8301,11.4221,0.0092,1.0073,142.8765,BIC,TwoStageWithin,33-alternatives,,
442,,,4.3237,0.0804,1.0877,160.8794,BIC,TwoStageBetween,33-attributes,0.3892,1.0
443,1.3202,,7.8207,,1.1072,159.1652,BIC,TwoStageWithin,33-attributes,,
444,,,5.8731,,1.1072,149.7315,BIC,TwoStageBetween,34-alternatives,0.5261,
445,5.0,1.0,10.9482,0.027,1.0974,154.9203,BIC,TwoStageWithin,34-alternatives,,
446,,,3.0921,0.1231,1.219,136.2721,BIC,TwoStageBetween,34-attributes,0.4114,0.2649
447,3.4884,,8.6408,,1.2221,128.8478,BIC,TwoStageWithin,34-attributes,,
448,,,5.346,,1.0295,110.6897,BIC,TwoStageBetween,35-alternatives,0.7979,
449,0.1215,0.8751,5.7254,0.0178,0.9906,109.8057,BIC,TwoStageWithin,35-alternatives,,
450,,,5.0,0.0453,1.1841,143.086,BIC,TwoStageBetween,35-attributes,0.6645,1.0
451,0.4383,,6.5067,,1.1731,131.5372,BIC,TwoStageWithin,35-attributes,,
452,,,9.6186,,1.2901,173.5681,BIC,TwoStageBetween,36-alternatives,0.6225,
453,0.5084,1.0,10.1033,0.0238,1.2871,181.9495,BIC,TwoStageWithin,36-alternatives,,
454,,,8.1308,0.0023,1.322,183.6843,BIC,TwoStageBetween,36-attributes,0.6886,1.0
455,0.3741,,7.9522,,1.3318,178.921,BIC,TwoStageWithin,36-attributes,,
456,,,8.0467,,0.97,123.0942,BIC,TwoStageBetween,38-alternatives,0.524,
457,0.8485,0.7999,10.4397,-0.0046,0.9737,132.5152,BIC,TwoStageWithin,38-alternatives,,
458,,,7.3127,-0.0184,0.9209,149.1507,BIC,TwoStageBetween,38-attributes,0.5657,1.0
459,0.6856,,7.7829,,0.9348,144.6385,BIC,TwoStageWithin,38-attributes,,
460,,,9.8919,,1.1139,93.7974,BIC,TwoStageBetween,39-alternatives,0.4553,
461,1.2739,1.0,12.2227,0.0417,1.1011,99.4505,BIC,TwoStageWithin,39-alternatives,,
462,,,8.209,-0.0207,1.0662,110.7855,BIC,TwoStageBetween,39-attributes,0.4728,1.0
463,1.0178,,10.054,,1.0793,105.0912,BIC,TwoStageWithin,39-attributes,,
464,,,3.8267,,1.1367,135.1603,BIC,TwoStageBetween,4-alternatives,0.3661,
465,1.6134,0.6183,7.3443,0.0082,1.139,144.2514,BIC,TwoStageWithin,4-alternatives,,
466,,,6.4051,0.0177,1.0795,121.7625,BIC,TwoStageBetween,4-attributes,0.4274,1.0
467,1.3929,,8.1753,,1.1112,120.3509,BIC,TwoStageWithin,4-attributes,,
468,,,2.7458,,0.6958,203.6212,BIC,TwoStageBetween,40-alternatives,0.484,
469,0.9109,0.966,3.3158,0.025,0.7006,213.4714,BIC,TwoStageWithin,40-alternatives,,
470,,,2.937,-0.0005,0.6884,196.7888,BIC,TwoStageBetween,40-attributes,0.5352,1.0
471,0.7722,,3.8043,,0.6786,185.4227,BIC,TwoStageWithin,40-attributes,,
472,,,1.9797,,1.1015,159.9697,BIC,TwoStageBetween,41-alternatives,0.5425,
473,0.6999,1.0,1.9444,-0.1061,1.0997,167.8801,BIC,TwoStageWithin,41-alternatives,,
474,,,1.5896,-0.0888,1.1803,152.1495,BIC,TwoStageBetween,41-attributes,0.6296,1.0
475,0.2743,,0.7704,,1.185,145.0391,BIC,TwoStageWithin,41-attributes,,
476,,,8.2164,,0.9046,122.2594,BIC,TwoStageBetween,42-alternatives,0.5754,
477,0.6879,1.0,9.5786,-0.0156,0.8961,128.6024,BIC,TwoStageWithin,42-alternatives,,
478,,,10.0666,0.0049,0.8807,117.0857,BIC,TwoStageBetween,42-attributes,0.6571,0.5659
479,0.4961,,8.9865,,0.8646,104.8312,BIC,TwoStageWithin,42-attributes,,
480,,,14.8035,,1.1634,43.9388,BIC,TwoStageBetween,43-alternatives,0.6352,
481,0.5502,0.8901,15.9061,0.0257,1.1862,57.1549,BIC,TwoStageWithin,43-alternatives,,
482,,,11.4728,-0.0011,1.1946,11.9256,BIC,TwoStageBetween,43-attributes,0.8017,1.0
483,0.2536,,11.6717,,1.2733,15.912,BIC,TwoStageWithin,43-attributes,,
484,,,10.4322,,1.2023,37.3683,BIC,TwoStageBetween,44-alternatives,0.8035,
485,0.1942,0.7499,10.9187,0.0505,1.2335,51.9601,BIC,TwoStageWithin,44-alternatives,,
486,,,6.081,0.0114,1.1819,77.1841,BIC,TwoStageBetween,44-attributes,0.8565,1.0
487,0.2277,,6.6665,,1.2119,75.274,BIC,TwoStageWithin,44-attributes,,
488,,,6.0063,,0.9995,55.6757,BIC,TwoStageBetween,45-alternatives,0.1399,
489,2.9151,1.0,14.8104,0.0208,1.1033,82.1011,BIC,TwoStageWithin,45-alternatives,,
490,,,6.0936,0.0158,0.9666,34.9876,BIC,TwoStageBetween,45-attributes,0.0582,1.0
491,2.7579,,17.5505,,1.1388,52.7863,BIC,TwoStageWithin,45-attributes,,
492,,,12.5348,,1.299,120.1944,BIC,TwoStageBetween,46-alternatives,0.5524,
493,0.8691,1.0,17.3599,0.0285,1.2581,115.1044,BIC,TwoStageWithin,46-alternatives,,
494,,,14.1549,0.0001,1.3019,65.1627,BIC,TwoStageBetween,46-attributes,0.585,0.9317
495,0.6411,,17.2692,,1.2643,48.3394,BIC,TwoStageWithin,46-attributes,,
496,,,9.7845,,0.9458,-45.0575,BIC,TwoStageBetween,47-alternatives,1.0,
497,0.0,1.0,10.0217,0.039,1.0275,-24.1974,BIC,TwoStageWithin,47-alternatives,,
498,,,9.1767,0.0223,0.8043,-50.9084,BIC,TwoStageBetween,47-attributes,1.0,1.0
499,0.0,,9.7453,,0.8889,-45.3925,BIC,TwoStageWithin,47-attributes,,
500,,,12.3743,,1.1718,63.6001,BIC,TwoStageBetween,48-alternatives,0.4593,
501,1.1435,0.7465,16.516,0.0133,1.2012,78.1265,BIC,TwoStageWithin,48-alternatives,,
502,,,11.7088,0.0162,1.1349,86.4355,BIC,TwoStageBetween,48-attributes,0.4039,1.0
503,1.3092,,16.2994,,1.1684,86.1545,BIC,TwoStageWithin,48-attributes,,
504,,,6.9302,,0.7722,59.0011,BIC,TwoStageBetween,49-alternatives,0.8175,
505,0.24,0.9818,7.5651,0.0153,0.8295,78.6735,BIC,TwoStageWithin,49-alternatives,,
506,,,8.6982,-0.0119,0.706,27.6359,BIC,TwoStageBetween,49-attributes,0.8769,0.7397
507,0.164,,8.2975,,0.7597,29.4536,BIC,TwoStageWithin,49-attributes,,
508,,,5.5606,,0.9697,82.4971,BIC,TwoStageBetween,5-alternatives,0.1945,
509,3.0052,0.7935,14.112,0.0267,1.0099,98.6031,BIC,TwoStageWithin,5-alternatives,,
510,,,8.7062,0.0192,1.0188,85.2585,BIC,TwoStageBetween,5-attributes,0.2595,0.5176
511,1.9714,,13.6813,,1.0754,87.608,BIC,TwoStageWithin,5-attributes,,
512,,,10.9354,,1.156,33.133,BIC,TwoStageBetween,50-alternatives,0.3184,
513,2.2498,0.8323,21.0444,0.0183,1.1809,45.4187,BIC,TwoStageWithin,50-alternatives,,
514,,,9.5641,0.0256,1.1029,29.7251,BIC,TwoStageBetween,50-attributes,0.2293,0.8662
515,2.0178,,20.2859,,1.1704,31.4478,BIC,TwoStageWithin,50-attributes,,
516,,,4.1202,,0.9466,184.1277,BIC,TwoStageBetween,51-alternatives,0.4337,
517,1.4941,0.475,7.5129,0.0247,0.9404,190.5821,BIC,TwoStageWithin,51-alternatives,,
518,,,4.6601,-0.0308,0.8386,182.999,BIC,TwoStageBetween,51-attributes,0.3382,0.5559
519,1.7378,,5.8535,,0.8655,182.5572,BIC,TwoStageWithin,51-attributes,,
520,,,7.4836,,0.9863,12.6104,BIC,TwoStageBetween,52-alternatives,0.9561,
521,0.0,0.8893,7.7612,0.0201,1.0166,25.6693,BIC,TwoStageWithin,52-alternatives,,
522,,,6.1256,0.0161,0.8591,26.5234,BIC,TwoStageBetween,52-attributes,1.0,1.0
523,0.0,,6.5879,,0.88,21.5447,BIC,TwoStageWithin,52-attributes,,
524,,,12.04,,1.0293,83.4827,BIC,TwoStageBetween,53-alternatives,0.6142,
525,0.5963,1.0,14.456,-0.0043,1.0058,86.3383,BIC,TwoStageWithin,53-alternatives,,
526,,,12.9654,-0.002,1.138,78.9229,BIC,TwoStageBetween,53-attributes,0.6282,0.7031
527,0.5747,,13.1071,,1.1077,63.9969,BIC,TwoStageWithin,53-attributes,,
528,,,10.8877,,1.0187,87.9315,BIC,TwoStageBetween,54-alternatives,0.5099,
529,0.8808,1.0,13.8151,0.009,0.9976,91.8645,BIC,TwoStageWithin,54-alternatives,,
530,,,8.5402,0.0323,0.9962,113.7477,BIC,TwoStageBetween,54-attributes,0.4888,0.9002
531,1.0264,,11.4777,,0.9996,106.0527,BIC,TwoStageWithin,54-attributes,,
532,,,10.7324,,1.0356,84.0413,BIC,TwoStageBetween,55-alternatives,0.4559,
533,1.1207,0.9557,12.0577,0.0312,1.0745,100.8791,BIC,TwoStageWithin,55-alternatives,,
534,,,7.9239,0.0183,1.0437,118.6452,BIC,TwoStageBetween,55-attributes,0.4691,0.9739
535,0.9629,,10.8814,,1.0414,109.6218,BIC,TwoStageWithin,55-attributes,,
536,,,6.9905,,1.1883,43.8737,BIC,TwoStageBetween,56-alternatives,0.9273,
537,0.0241,0.5529,8.8174,0.0344,1.1753,49.9636,BIC,TwoStageWithin,56-alternatives,,
538,,,6.9094,0.0047,1.1567,34.2923,BIC,TwoStageBetween,56-attributes,1.0,0.9904
539,0.0,,7.3291,,1.1807,28.7296,BIC,TwoStageWithin,56-attributes,,
540,,,19.9133,,1.7183,89.433,BIC,TwoStageBetween,57-alternatives,0.5345,
541,0.815,1.0,21.8656,0.0158,1.7222,99.1076,BIC,TwoStageWithin,57-alternatives,,
542,,,17.9055,-0.0168,1.6142,73.8208,BIC,TwoStageBetween,57-attributes,0.5218,1.0
543,0.8516,,20.4342,,1.6165,65.926,BIC,TwoStageWithin,57-attributes,,
544,,,7.1096,,1.0296,109.7947,BIC,TwoStageBetween,58-alternatives,0.644,
545,0.5698,0.6101,10.6899,0.0183,1.0047,112.9995,BIC,TwoStageWithin,58-alternatives,,
546,,,8.2589,-0.0064,1.0678,104.0524,BIC,TwoStageBetween,58-attributes,0.6004,1.0
547,0.5761,,9.5532,,1.0406,90.1207,BIC,TwoStageWithin,58-attributes,,
548,,,7.147,,1.1402,123.0577,BIC,TwoStageBetween,59-alternatives,0.4789,
549,1.1796,1.0,9.8794,0.0334,1.1314,129.0471,BIC,TwoStageWithin,59-alternatives,,
550,,,9.0726,0.0257,1.3028,77.3929,BIC,TwoStageBetween,59-attributes,0.4783,1.0
551,1.0509,,11.5705,,1.3277,73.9806,BIC,TwoStageWithin,59-attributes,,
552,,,15.9233,,1.228,20.4313,BIC,TwoStageBetween,6-alternatives,0.6499,
553,0.4788,1.0,16.4862,0.0004,1.2397,30.8752,BIC,TwoStageWithin,6-alternatives,,
554,,,15.9111,0.0063,1.5608,71.0659,BIC,TwoStageBetween,6-attributes,0.6598,1.0
555,0.4564,,16.1877,,1.5685,64.4342,BIC,TwoStageWithin,6-attributes,,
556,,,8.4686,,1.2401,109.7749,BIC,TwoStageBetween,60-alternatives,0.6702,
557,0.3399,1.0,7.1889,0.0292,1.2472,120.0927,BIC,TwoStageWithin,60-alternatives,,
558,,,16.3277,-0.0023,1.3293,97.7212,BIC,TwoStageBetween,60-attributes,0.5928,0.4082
559,0.5857,,11.6348,,1.3437,92.7235,BIC,TwoStageWithin,60-attributes,,
560,,,13.2233,,1.2834,82.8746,BIC,TwoStageBetween,61-alternatives,0.5597,
561,0.7522,1.0,12.784,0.0464,1.2945,94.0749,BIC,TwoStageWithin,61-alternatives,,
562,,,11.2916,-0.0149,1.1922,79.2764,BIC,TwoStageBetween,61-attributes,0.5612,0.9317
563,0.6856,,12.5495,,1.1685,66.3728,BIC,TwoStageWithin,61-attributes,,
564,,,19.7973,,1.7299,-11.5245,BIC,TwoStageBetween,62-alternatives,0.6189,
565,0.549,1.0,20.6346,0.0094,1.7419,-1.0273,BIC,TwoStageWithin,62-alternatives,,
566,,,23.1722,-0.0059,1.7089,97.0235,BIC,TwoStageBetween,62-attributes,0.6398,1.0
